Google地点ID,业务类别,地点名称,泰文名称,Google主要类型,主要类别,评分,评价数量,完整地址,纬度,经度,县区中文名,乡分区中文名,每周营业时间,电话,官方网站,设施与服务标签,编辑简介,Google地图链接
ChIJPYs-Ez-Z4jARD0moEmgPlmA,景点,The Temple of The Emerald Buddha Museum (Wat Phra Keo Museum),พิพิธภัณฑ์วัดพระแก้ว (พิพิธภัณฑ์วัดพระแก้ว),museum,博物馆,4.6,186,"The Grand Palace, พิพิธภัณฑ์วัดพระศรีรัตนศาสดาราม Na Phra Lan Rd, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200泰国",13.75094,100.490157,拍那空县,大皇宫区,星期一 08:30-15:30 | 星期二 08:30-15:30 | 星期三 08:30-15:30 | 星期四 08:30-15:30 | 星期五 08:30-15:30 | 星期六 08:30-15:30 | 星期日 08:30-15:30,,https://royalgrandpalace.th,适合儿童|有洗手间|无障碍入口|无障碍停车|无障碍洗手间,,https://www.google.com/maps/place/The+Temple+of+The+Emerald+Buddha+Museum+%28Wat+Phra+Keo+Museum%29/data=!4m7!3m6!1s0x30e2993f133e8b3d:0x60960f6812a8490f!8m2!3d13.7509399!4d100.4901572!16s%2Fg%2F11h2n0rgsd!19sChIJPYs-Ez-Z4jARD0moEmgPlmA?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJ_8JQ86-f4jARXWFAXQwEGlA,景点,Train Night Market Ratchada,ตลาดนัดรถไฟรัชดา,,夜市,3.5,179,"Ratchadaphisek Rd, Khwaeng Din Daeng, Din Daeng, Bangkok 10400泰国",13.766877,100.568665,汇权县,Din Daeng,星期一 17:00-01:00 | 星期二 17:00-01:00 | 星期三 17:00-01:00 | 星期四 17:00-01:00 | 星期五 17:00-01:00 | 星期六 17:00-01:00 | 星期日 17:00-01:00,+66 80 078 0918,,,,https://www.google.com/maps/place/Train+Night+Market+Ratchada/data=!4m7!3m6!1s0x30e29faff350c2ff:0x501a040c5d40615d!8m2!3d13.7668766!4d100.5686649!16s%2Fg%2F11xl3tpysg!19sChIJ_8JQ86-f4jARXWFAXQwEGlA?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJVVVVVeSe4jARhfy8f6qXCpE,景点,曼谷堪廷彦博物馆,พิพิธภัณฑ์กันติงญาณกรุงเทพ,,博物馆,3.9,177,"131 Asok Montri Rd, Khlong Toei Nuea, Watthana, Bangkok 10110泰国",13.739328,100.56129,宛他那县,Khlong Toei Nuea,,+66 2 661 6470,https://thesiamsociety.org,,,https://www.google.com/maps/place/%E6%9B%BC%E8%B0%B7%E5%A0%AA%E5%BB%B7%E5%BD%A6%E5%8D%9A%E7%89%A9%E9%A6%86/data=!4m7!3m6!1s0x30e29ee455555555:0x910a97aa7fbcfc85!8m2!3d13.7393284!4d100.5612902!16s%2Fm%2F03hlbtt!19sChIJVVVVVeSe4jARhfy8f6qXCpE?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJvUqFbDuZ4jARe02ncvrP4nM,景点,PLAY art house,เพลย์อาร์ตเฮาส์,art_gallery,画廊,4.7,173,"993 Song Wat Rd, Khwaeng Samphanthawong, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.737679,100.508437,三攀他旺县,Samphanthawong,星期一: 休息 | 星期二: 10:00–18:00 | 星期三: 10:00–17:00 | 星期四: 10:00–18:00 | 星期五: 10:00–18:00 | 星期六: 10:00–18:00 | 星期日: 10:00–18:00,+66 91 048 7187,,适合儿童|无障碍入口|无障碍座位,,https://maps.google.com/?cid=8350465333670661499&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ1_9KLxCZ4jARNVFsNQSbq7k,景点,Pig Memorial,อนุสาวรีย์หมู (อนุสาวรีย์สหชาติ),monument,纪念碑,4.5,163,"จังหวัด กรุงเทพมหานคร Phra Nakhon, 曼谷 Banglamphu PFXW+WFX邮政编码: 10200",13.749872,100.496224,拍那空县,大皇宫区,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,,http://www.bangkok.go.th/,适合儿童,,https://maps.google.com/?cid=13378957560412655925&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJgQTA_VOY4jARnAu5_Wzdp2E,景点,Bangkok Yai Park,สวนสาธารณะบางกอกใหญ่,park,公园,4.3,162,"PFJH+M98, Wat Tha Phra, Bangkok Yai, Bangkok 10600",13.731662,100.478462,曼谷艾县,Wat Tha Phra,星期一: 05:00–20:00 | 星期二: 05:00–20:00 | 星期三: 05:00–20:00 | 星期四: 05:00–20:00 | 星期五: 05:00–20:00 | 星期六: 05:00–20:00 | 星期日: 05:00–20:00,,,允许携带宠物|适合儿童|无障碍入口|无障碍停车,,https://maps.google.com/?cid=7036836402972658588&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJtQnBbm2Z4jARtZRoAMhvdKw,景点,Wat Chana Songkhram Ratchaworamahawihan,วัดชนะสงครามราชวรมหาวิหาร,buddhist_temple,佛教寺庙,4.6,156,"77 Chakrabongse Rd, Khwaeng Chana Songkhram, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.760384,100.495574,拍那空县,查那松康区,星期一 07:30-18:30 | 星期二 07:30-18:00 | 星期三 07:30-18:00 | 星期四 07:30-18:00 | 星期五 07:30-18:00 | 星期六 07:30-18:00 | 星期日 07:30-18:00,+66 93 126 4000,https://facebook.com,,,https://maps.google.com/?cid=12426680176613037237&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJozVF9o-Z4jARJD0Ovhim5mM,景点,Mahanakhon sculpture park,สวนประติมากรรมมหานคร,tourist_attraction,旅游胜地,4.5,152,"MahaNakhon, 114 Naradhiwas Rajanagarindra Rd, Si Lom, Bang Rak, Bangkok 10500泰国",13.723852,100.528649,挽叻县,是隆,星期一 24小时营业 | 星期二 24小时营业 | 星期三 24小时营业 | 星期四 24小时营业 | 星期五 24小时营业 | 星期六 24小时营业 | 星期日 24小时营业,,,适合儿童|有洗手间|无障碍入口|无障碍停车,,https://www.google.com/maps/place/Mahanakhon+sculpture+park/data=!4m7!3m6!1s0x30e2998ff64535a3:0x63e6a618be0e3d24!8m2!3d13.7238515!4d100.5286494!16s%2Fg%2F11tj10z79d!19sChIJozVF9o-Z4jARJD0Ovhim5mM?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJhfwkjA6Z4jARYpdkDKLGFuE,景点,Manee Nopparat Gate,ประตูมณีนพรัตน์,historical_landmark,古迹地标,4.7,148,"2 Na Phra Lan Rd, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.752286,100.492585,拍那空县,大皇宫区,,,,适合儿童|无障碍入口|无障碍停车,,https://maps.google.com/?cid=16219369507316340578&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJbVcYpGyZ4jARmLarY8YEtx0,景点,The Museum & Library of Abbots of Wat Bovoranives Vihara,พิพิธภัณฑ์และห้องสมุดเจ้าอาวาสวัดบวรนิเวศวิหาร,museum,博物馆,4.8,148,"248 Thanon Phra Sumen, Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.759687,100.501157,拍那空县,波稳尼威区,星期一: 休息 | 星期二: 休息 | 星期三: 休息 | 星期四: 休息 | 星期五: 休息 | 星期六: 09:00–16:00 | 星期日: 09:00–16:00,+66 89 441 0488,http://www.watbowonabbotmuseum.org/th/contact-us.php,适合儿童|有洗手间|无障碍入口|无障碍停车|无障碍洗手间|无障碍座位,,https://maps.google.com/?cid=2141185397960193688&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJHW6dszGZ4jARrlu3vwjN0C0,景点,Alangkarn Waterfall,น้ำตกอลังการ,tourist_attraction,旅游胜地,4.5,142,"〒10600 Bangkok, Khlong San, Bangkok, 6th Floor",13.72628,100.510166,空訕縣,Khlong Ton Sai,星期一: 10:00–22:00 | 星期二: 10:00–22:00 | 星期三: 10:00–22:00 | 星期四: 10:00–22:00 | 星期五: 10:00–22:00 | 星期六: 10:00–22:00 | 星期日: 10:00–22:00,,,适合儿童|有洗手间|无障碍入口|无障碍停车,,https://maps.google.com/?cid=3301363964322470830&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJSUyBWQCZ4jARtQykUR0nE20,景点,Sané Phuthong,เสน่ห์ ภู่ทอง,art_gallery,画廊,4.7,142,"72, 5-8 Thanon Damrong Rak, Khwaeng Ban Bat, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.755376,100.507621,邦巴沙都拍县,班巴区,,,,可预约|外带|供应早餐|供应咖啡|供应甜品,,https://maps.google.com/?cid=7859668781568887989&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJOWvyMRSZ4jARLle5iiMQuoM,景点,Sunthon Phu Museum,พิพิธภัณฑ์สุนทรภู่,museum,博物馆,4.6,138,"70 ซอย วัดเทพธิดาราม Khwaeng Samran Rat, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.753604,100.503844,拍那空县,巴杜披,星期一: 10:00–17:00 | 星期二: 10:00–17:00 | 星期三: 10:00–17:00 | 星期四: 10:00–17:00 | 星期五: 10:00–17:00 | 星期六: 10:00–17:00 | 星期日: 10:00–17:00,+66 85 120 8914,https://travel.mthai.com/blog/29694.html,适合儿童|有洗手间,,https://maps.google.com/?cid=9491916909474043694&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJM57fN9yZ4jARN-XRsjzb92Q,景点,Asiatique Waterfront Area,บริเวณริมน้ำเอเชียทีค,,旅游胜地,4.5,135,"PG32+XPQ ถ. เจริญกรุง Wat Phraya Krai, Bang Kho Laem, Bangkok 10120泰国",13.705045,100.501961,曼柯廉县,Wat Phraya Krai,星期一 11:00-22:00 | 星期二 11:00-22:00 | 星期三 23:00-00:00 | 星期四 00:00-22:00 | 星期五 23:00-00:00 | 星期六 00:00-22:00 | 星期日 11:00-22:00,+66 61 420 0047,https://advance-ticket.com,,,https://www.google.com/maps/place/Asiatique+Waterfront+Area/data=!4m7!3m6!1s0x30e299dc37df9e33:0x64f7db3cb2d1e537!8m2!3d13.7050446!4d100.5019615!16s%2Fg%2F11k50fdcvb!19sChIJM57fN9yZ4jARN-XRsjzb92Q?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJU_CKrxWZ4jARAul-S3lTaX8,景点,Statue of King Nangklao (Rama III),พระบรมราชานุสาวรีย์พระบาทสมเด็จพระนั่งเกล้าเจ้าอยู่หัว,monument,纪念碑,4.5,131,"2 Thanon Ratchadamnoen Klang, Wat Bowonniwet , 10200, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.755385,100.504966,拍那空县,波稳尼威区,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,,,适合儿童,,https://maps.google.com/?cid=9180961095794223362&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJvccM01iZ4jARPwr8_uBuM_8,景点,云石寺,วัดหยุนซี,buddhist_temple,佛教寺庙,4.7,124,"69 Thanon Rama V, Khwaeng Dusit, Khet Dusit, Krung Thep Maha Nakhon 10300",13.766528,100.514117,都实县,Dusit,星期一 06:00-18:00 | 星期二 06:00-18:00 | 星期三 06:00-18:00 | 星期四 06:00-18:00 | 星期五 06:00-18:00 | 星期六 06:00-18:00 | 星期日 06:00-18:00,+66 98 395 4289,https://watben5.com,适合儿童|有洗手间|无障碍入口|无障碍停车|无障碍洗手间,华丽的寺庙，使用白色的意大利大理石建造，融合了欧洲和泰国设计风格。,https://maps.google.com/?cid=18389163616113527359&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJFTZxq9KZ4jARyANfo4Ni3wk,景点,Maen Sri Waterworks,ประปาแม้นศรี (หลังเก่า),historical_landmark,古迹地标,4.5,123,"QG25+G8X, Ban Bat, Pom Prap Sattru Phai, Bangkok 10100",13.751363,100.508348,邦巴沙都拍县,班巴区,星期一: 11:00–21:00 | 星期二: 11:00–21:00 | 星期三: 11:00–21:00 | 星期四: 11:00–21:00 | 星期五: 11:00–21:00 | 星期六: 11:00–21:00 | 星期日: 11:00–21:00,,,,,https://maps.google.com/?cid=711395583668978632&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJQeImlR2Z4jARHveRPXq6vgU,景点,關帝古廟,วัดโบราณกวนตี้,,圣地,4.8,122,"251 Somdet Chao Phraya 3 Alley, Somdet Chao Phraya, Khlong San, Bangkok 10600泰国",13.737398,100.500061,空訕縣,Somdet Chao Phraya,星期一 07:30-17:30 | 星期二 07:30-17:30 | 星期三 07:30-17:30 | 星期四 07:30-17:30 | 星期五 07:30-17:30 | 星期六 07:30-17:30 | 星期日 07:30-17:30,+66 2 439 6309,https://facebook.com,,,https://www.google.com/maps/place/%E9%97%9C%E5%B8%9D%E5%8F%A4%E5%BB%9F/data=!4m7!3m6!1s0x30e2991d9526e241:0x5beba7a3d91f71e!8m2!3d13.7373984!4d100.5000611!16s%2Fg%2F11bvt8mcl8!19sChIJQeImlR2Z4jARHveRPXq6vgU?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJUSXWgGaZ4jARO_Kdze7bbt4,景点,Mahakan Fort Park,สวนสาธารณะป้อมมหากาฬ,city_park,城市公园,4.5,121,"QG34+R5M, Maha Chai Rd, Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.754582,100.505428,拍那空县,波稳尼威区,星期一: 05:00–21:00 | 星期二: 05:00–21:00 | 星期三: 05:00–21:00 | 星期四: 05:00–21:00 | 星期五: 05:00–21:00 | 星期六: 05:00–21:00 | 星期日: 05:00–21:00,,,允许携带宠物|适合儿童|无障碍入口,,https://maps.google.com/?cid=16027989942556553787&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ6Whn4Cif4jARpzSH7kaWgw0,景点,Gate 4,ประตู 4,state_park,国家公园,4.5,119,"192 Thanon Rama IV, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330",13.730123,100.538197,巴吞旺县,Lumphini,星期一: 04:30–21:00 | 星期二: 04:30–21:00 | 星期三: 04:30–21:00 | 星期四: 04:30–21:00 | 星期五: 04:30–21:00 | 星期六: 04:30–21:00 | 星期日: 04:30–21:00,+66 95 549 2999,,适合儿童|无障碍入口|无障碍停车,,https://maps.google.com/?cid=973787175835874471&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJKbDwDiyf4jARFcqO_YhqTc8,景点,Nepal Arts Gallery (อารยา อาร์ต),Nepal Arts Gallery (อารยา อาร์ต),art_gallery,画廊,5.0,118,"5th Floor, Big C Supercenter Ratchadamri, 97/11 Thanon Ratchadamri, Khwaeng Lumphini, Patumwan, Krung Thep Maha Nakhon 10330",13.747055,100.541129,巴吞旺县,Lumphini,星期一: 10:00–20:30 | 星期二: 10:00–20:30 | 星期三: 10:00–20:30 | 星期四: 10:00–20:30 | 星期五: 10:00–20:30 | 星期六: 10:00–20:30 | 星期日: 10:00–20:30,+66 87 042 6994,http://www.arayanepal.blogspot.com/,适合儿童|有洗手间|无障碍入口|无障碍停车|无障碍洗手间|无障碍座位,,https://maps.google.com/?cid=14937712675659893269&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJWUyF482e4jAR12sAcrWRIiY,景点,アクアリウム Siam Paragon,อควาเรียมสยามพารากอน,aquarium,水族馆,4.5,116,"968 Rama I Rd, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330",13.74683,100.534928,巴吞旺县,Pathum Wan,,+66 2 687 2000,http://www.sealifebangkok.com/,适合儿童|无障碍入口|无障碍停车,,https://maps.google.com/?cid=2747918931137162199&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJMTBhx9SZ4jAR3RW47ElQWzk,景点,Joyman Gallery,จอยแมน แกลเลอรี่,art_gallery,画廊,4.7,115,"357 359 Maha Chai Rd, Khwaeng Samran Rat, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.751859,100.50455,拍那空县,巴杜披,星期一: 休息 | 星期二: 11:00–18:00 | 星期三: 11:00–18:00 | 星期四: 11:00–18:00 | 星期五: 11:00–18:00 | 星期六: 11:00–18:00 | 星期日: 11:00–18:00,+66 65 124 1111,http://www.joymangallery.com/,适合儿童|有洗手间,,https://maps.google.com/?cid=4132985361476883933&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJA6WfpGuZ4jARGHEeYBQPxb0,景点,Wat Tri Thotsathep Worawihan,วัดตรีทศเทพวรวิหาร,buddhist_temple,佛教寺庙,4.4,114,"167 Prachathipatai Rd, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.761875,100.503021,拍那空县,班潘通,星期一 07:00-21:00 | 星期二 07:00-21:00 | 星期三 07:00-21:00 | 星期四 07:00-21:00 | 星期五 07:00-21:00 | 星期六 07:00-21:00 | 星期日 07:00-21:00,+66 2 282 4453,,有洗手间|无障碍入口|无障碍停车|无障碍洗手间,这座佛教寺庙宁静清幽，以镀金佛塔、屋顶尖塔以及精美的壁画和绘画而闻名。,https://maps.google.com/?cid=13674352423766749464&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJr1UBJw2Z4jARZ5tidTivoDA,景点,World War I Volunteer Monument,อนุสาวรีย์อาสาสมัครสงครามโลกครั้งที่ 1,monument,纪念碑,4.0,113,"4 Soi Na Phra That, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.758207,100.493283,拍那空县,大皇宫区,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,,http://www.resource.lib.su.ac.th/rattanakosin/index.php/2014-10-27-08-52-05/2015-10-19-03-54-00/2015-10-19-04-17-51,适合儿童|无障碍入口|无障碍停车,,https://maps.google.com/?cid=3503993167116671847&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJbZSxHMSY4jARoHjW7iRjv1Y,景点,Saphan Taksin Public Park,สวนสาธารณะสะพานตากสิน,park,公园,4.2,110,"PG97+8RM, Yan Nawa, Sathon, Bangkok 10120",13.718349,100.514551,沙吞县,Yan Nawa,星期一: 05:30–18:30 | 星期二: 05:30–18:30 | 星期三: 05:30–18:30 | 星期四: 05:30–18:30 | 星期五: 05:30–18:30 | 星期六: 05:30–18:30 | 星期日: 24小时营业,,,允许携带宠物|适合儿童|无障碍入口,,https://maps.google.com/?cid=6250823818090543264&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJqR0gi8iY4jARw_8HLFUUsRk,景点,"80th Anniversary Celebration Park, Sathon",สวนเฉลิมพระเกียรติ 80 พรรษา สาทร,state_park,国家公园,4.2,108,"สวนเฉลิมพระเกียรติ 80 พรรษา, ซอย เจริญราษฎร์ 1 แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120",13.716874,100.519679,沙吞县,Yan Nawa,星期一: 09:00–19:00 | 星期二: 09:00–19:00 | 星期三: 09:00–19:00 | 星期四: 09:00–19:00 | 星期五: 09:00–19:00 | 星期六: 09:00–19:00 | 星期日: 09:00–19:00,+66 65 771 4202,http://203.155.220.118/green-parks-admin/index.php?m=green_parks&op=detaildata&NUID=7144,适合儿童|无障碍入口|无障碍停车,,https://maps.google.com/?cid=1851283277869481923&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ55VCtrphHTERAdBuK5LRG1A,景点,Prasart博物馆,พิพิธภัณฑ์ปราสาท,,博物馆,4.3,107,"PMR3+R88, Krungthep Kritha, Khwaeng Hua Mak, Khet Bang Kapi, Bangkok 10240泰国",13.742039,100.653341,邦甲比县,Hua Mak,星期一 休息 | 星期二 09:00-14:00 | 星期三 09:00-14:00 | 星期四 09:00-14:00 | 星期五 09:00-14:00 | 星期六 09:00-14:00 | 星期日 09:00-14:00,+66 2 379 3601,https://museumthailand.com,,,https://www.google.com/maps/place/Prasart%E5%8D%9A%E7%89%A9%E9%A6%86/data=!4m7!3m6!1s0x311d61bab64295e7:0x501bd1922b6ed001!8m2!3d13.742039!4d100.6533406!16s%2Fm%2F03hlbmm!19sChIJ55VCtrphHTERAdBuK5LRG1A?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJ0a20osaY4jARn4MDBNAhVtM,景点,Yannawa Temple,วัดยานนาวา,,佛教寺庙,4.5,105,"40 ถ. เจริญกรุง Yan Nawa, Sathon, Bangkok 10120泰国",13.717264,100.513796,沙吞县,Yan Nawa,星期一 07:00-18:00 | 星期二 07:00-18:00 | 星期三 07:00-18:00 | 星期四 07:00-18:00 | 星期五 07:00-18:00 | 星期六 07:00-18:00 | 星期日 07:00-18:00,+66 92 669 2516,https://facebook.com,,,https://www.google.com/maps/place/Yannawa+Temple/data=!4m7!3m6!1s0x30e298c6a2b4add1:0xd35621d00403839f!8m2!3d13.7172642!4d100.5137964!16s%2Fm%2F02rznsb!19sChIJ0a20osaY4jARn4MDBNAhVtM?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJO8hO_J6Z4jAR5jC7PER8JlQ,景点,Siwamokhaphiman Hall,พระที่นั่งศิวโมกขพิมาน,museum,博物馆,4.8,103,"4 Soi Na Phra That, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.757425,100.492341,拍那空县,大皇宫区,星期一: 休息 | 星期二: 休息 | 星期三: 09:00–16:00 | 星期四: 09:00–16:00 | 星期五: 09:00–16:00 | 星期六: 09:00–16:00 | 星期日: 09:00–16:00,,http://www.virtualmuseum.finearts.go.th/bangkoknationalmuseums/360/siwamok-thai.html,适合儿童|有洗手间|无障碍入口|无障碍停车|无障碍洗手间,,https://maps.google.com/?cid=6063670580819472614&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJWYxfmSGZ4jARmHGTlWlBOlM,景点,Wiset Chai Si Gate,ประตูวิเศษไชยสี,historical_landmark,古迹地标,4.6,103,"2 Na Phra Lan Rd, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.752254,100.491183,拍那空县,大皇宫区,星期一: 08:30–15:30 | 星期二: 08:30–15:30 | 星期三: 08:30–15:30 | 星期四: 08:30–15:30 | 星期五: 08:30–15:30 | 星期六: 08:30–15:30 | 星期日: 08:30–15:30,,https://www.royalgrandpalace.th/,适合儿童,,https://maps.google.com/?cid=5997177775534076312&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ13k5-g6Z4jARu_H6cvBJDvE,景点,Phra Ubosot (The Chapel),พระอุโบสถ วัดพระศรีรัตนศาสดาราม,buddhist_temple,佛教寺庙,4.6,101,"QF2V+F36, Na Phra Lan Rd, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.751162,100.492648,拍那空县,大皇宫区,星期一: 08:30–15:30 | 星期二: 08:30–15:30 | 星期三: 08:30–15:30 | 星期四: 08:30–15:30 | 星期五: 08:30–15:30 | 星期六: 休息 | 星期日: 08:30–15:30,,https://www.royalgrandpalace.th/en/home,有洗手间|无障碍停车|无障碍洗手间,,https://maps.google.com/?cid=17369902109884608955&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ_bd56myZ4jAROGViXBy9vP0,景点,巴翁僧王寺,วัดป่าอ๋อง,buddhist_temple,佛教寺庙,4.7,101,"248 Thanon Phra Sumen, Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.760275,100.499871,拍那空县,波稳尼威区,星期一 08:00-16:00 | 星期二 08:00-16:00 | 星期三 08:00-16:00 | 星期四 08:00-16:00 | 星期五 08:00-16:00 | 星期六 08:00-16:00 | 星期日 08:00-16:00,+66 2 629 5854,https://facebook.com,有洗手间|无障碍入口|无障碍停车|无障碍洗手间,这座佛寺是王子出家修行的地方，且收藏有可追溯至 13 世纪的雕像。,https://maps.google.com/?cid=18283696516724057400&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJuyuYVgCZ4jARYCFdCDEop5k,景点,Pub crawl monster Bangkok,ผับคลานมอนสเตอร์กรุงเทพ,garden,花园,5.0,100,"196 199 Thanon Ratchadamnoen Klang, Borwornnives Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.755691,100.503581,拍那空县,波稳尼威区,星期一: 20:30–00:00 | 星期二: 20:30–00:00 | 星期三: 20:30–00:00 | 星期四: 20:30–00:00 | 星期五: 20:30–00:00 | 星期六: 20:30–00:00 | 星期日: 20:30–00:00,+66 93 198 8118,,,,https://maps.google.com/?cid=11071862399972483424&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
