泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）
TH,4,村,25010202,250102,2501,25,,ตึกปืน,,村级暂无可靠中文标准名,รอบเมือง,เมืองปราจีนบุรี,ปราจีนบุรี,14.0639144,101.3436521,历史点位匹配；上线前抽样复核,166,163,329,115,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,25010203,250102,2501,25,,ตึกปืน,,村级暂无可靠中文标准名,รอบเมือง,เมืองปราจีนบุรี,ปราจีนบุรี,14.0585923,101.3334168,历史点位匹配；上线前抽样复核,187,207,394,124,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,25010204,250102,2501,25,,ท่าเรือ,,村级暂无可靠中文标准名,รอบเมือง,เมืองปราจีนบุรี,ปราจีนบุรี,,,未匹配公开点位,45,45,90,35,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,25010205,250102,2501,25,,มอญ,,村级暂无可靠中文标准名,รอบเมือง,เมืองปราจีนบุรี,ปราจีนบุรี,14.0509251,101.3358328,历史点位匹配；上线前抽样复核,88,90,178,68,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,26010201,260102,2601,26,,ดอนใหญ่,,村级暂无可靠中文标准名,ท่าช้าง,เมืองนครนายก,นครนายก,14.1742861,101.1524718,历史点位匹配；上线前抽样复核,530,611,1141,956,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,26010202,260102,2601,26,,ย่านซื่อ,,村级暂无可靠中文标准名,ท่าช้าง,เมืองนครนายก,นครนายก,14.1982679,101.181096,历史点位匹配；上线前抽样复核,298,321,619,263,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,26010203,260102,2601,26,,ฝั่งขวา,,村级暂无可靠中文标准名,ท่าช้าง,เมืองนครนายก,นครนายก,14.1783734,101.1827581,历史点位匹配；上线前抽样复核,159,180,339,197,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,26010204,260102,2601,26,,เจดีย์ทอง,,村级暂无可靠中文标准名,ท่าช้าง,เมืองนครนายก,นครนายก,14.1956498,101.1708827,历史点位匹配；上线前抽样复核,235,255,490,268,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,26010205,260102,2601,26,,บางพะเนียด,,村级暂无可靠中文标准名,ท่าช้าง,เมืองนครนายก,นครนายก,14.1957085,101.1643998,历史点位匹配；上线前抽样复核,233,264,497,196,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,27010101,270101,2701,27,,โคกนกขุนทอง,,村级暂无可靠中文标准名,สระแก้ว,เมืองสระแก้ว,สระแก้ว,13.8459513,102.0408728,历史点位匹配；上线前抽样复核,57,61,118,53,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,27010102,270101,2701,27,,สระแก้ว,,村级暂无可靠中文标准名,สระแก้ว,เมืองสระแก้ว,สระแก้ว,13.8191826,102.0680134,历史点位匹配；上线前抽样复核,67,52,119,412,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,27010103,270101,2701,27,,ใหม่คำเจริญ,,村级暂无可靠中文标准名,สระแก้ว,เมืองสระแก้ว,สระแก้ว,13.7877738,102.0759889,历史点位匹配；上线前抽样复核,130,151,281,120,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,27010104,270101,2701,27,,คลองหมี,,村级暂无可靠中文标准名,สระแก้ว,เมืองสระแก้ว,สระแก้ว,13.8566421,102.0287213,历史点位匹配；上线前抽样复核,288,278,566,226,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,27010105,270101,2701,27,,เนินสะอาด,,村级暂无可靠中文标准名,สระแก้ว,เมืองสระแก้ว,สระแก้ว,13.7834775,102.1035754,历史点位匹配；上线前抽样复核,212,214,426,181,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,30010201,300102,3001,30,,หนองปรือ,,村级暂无可靠中文标准名,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,14.9503593,102.103369,历史点位匹配；上线前抽样复核,1948,2183,4131,1782,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,30010202,300102,3001,30,,หนองไผ่,,村级暂无可靠中文标准名,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,14.9232709,102.1037326,历史点位匹配；上线前抽样复核,1662,1853,3515,1668,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,30010203,300102,3001,30,,หนองพลวงน้อย,,村级暂无可靠中文标准名,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,14.9089212,102.1094128,历史点位匹配；上线前抽样复核,1322,1502,2824,1068,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,30010204,300102,3001,30,,หนองพลวงมะนาว,,村级暂无可靠中文标准名,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,14.9077043,102.1125745,历史点位匹配；上线前抽样复核,1971,2113,4084,1673,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,30010205,300102,3001,30,,หนองพุดซา,,村级暂无可靠中文标准名,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,14.9221302,102.0911992,历史点位匹配；上线前抽样复核,956,1119,2075,769,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,31010201,310102,3101,31,,โคกวัด,,村级暂无可靠中文标准名,อิสาณ,เมืองบุรีรัมย์,บุรีรัมย์,14.9826179,103.1113174,历史点位匹配；上线前抽样复核,816,877,1693,1227,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,31010202,310102,3101,31,,โคกใหญ่,,村级暂无可靠中文标准名,อิสาณ,เมืองบุรีรัมย์,บุรีรัมย์,14.9620551,103.138455,历史点位匹配；上线前抽样复核,692,861,1553,698,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,31010203,310102,3101,31,,โคกหัวช้าง,,村级暂无可靠中文标准名,อิสาณ,เมืองบุรีรัมย์,บุรีรัมย์,14.989985,103.127987,历史点位匹配；上线前抽样复核,845,924,1769,1185,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,31010204,310102,3101,31,,ไทยเจริญ,,村级暂无可靠中文标准名,อิสาณ,เมืองบุรีรัมย์,บุรีรัมย์,14.9680673,103.1002897,历史点位匹配；上线前抽样复核,234,253,487,359,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,31010205,310102,3101,31,,หนองโพรง,,村级暂无可靠中文标准名,อิสาณ,เมืองบุรีรัมย์,บุรีรัมย์,14.9903995,103.0694134,历史点位匹配；上线前抽样复核,931,1058,1989,1080,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,32010201,320102,3201,32,,ตั้งใจ,,村级暂无可靠中文标准名,ตั้งใจ,เมืองสุรินทร์,สุรินทร์,15.0658681,103.5507067,历史点位匹配；上线前抽样复核,411,428,839,281,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,32010202,320102,3201,32,,สังแก,,村级暂无可靠中文标准名,ตั้งใจ,เมืองสุรินทร์,สุรินทร์,15.0770825,103.5243866,历史点位匹配；上线前抽样复核,418,399,817,210,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,32010203,320102,3201,32,,ระกา,,村级暂无可靠中文标准名,ตั้งใจ,เมืองสุรินทร์,สุรินทร์,15.0819197,103.5399245,历史点位匹配；上线前抽样复核,225,232,457,130,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,32010204,320102,3201,32,,โคกกรวด,,村级暂无可靠中文标准名,ตั้งใจ,เมืองสุรินทร์,สุรินทร์,15.0747205,103.574602,历史点位匹配；上线前抽样复核,244,272,516,183,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,32010205,320102,3201,32,,ระกา,,村级暂无可靠中文标准名,ตั้งใจ,เมืองสุรินทร์,สุรินทร์,15.0509366,103.5641737,历史点位匹配；上线前抽样复核,258,251,509,159,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,33010301,330103,3301,33,,คูซอด,,村级暂无可靠中文标准名,คูซอด,เมืองศรีสะเกษ,ศรีสะเกษ,15.1989676,104.2664503,历史点位匹配；上线前抽样复核,323,329,652,207,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,33010302,330103,3301,33,,คูซอด,,村级暂无可靠中文标准名,คูซอด,เมืองศรีสะเกษ,ศรีสะเกษ,15.1998675,104.2636562,历史点位匹配；上线前抽样复核,223,240,463,194,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,33010303,330103,3301,33,,แดง,,村级暂无可靠中文标准名,คูซอด,เมืองศรีสะเกษ,ศรีสะเกษ,15.2233513,104.2515087,历史点位匹配；上线前抽样复核,391,365,756,170,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,33010304,330103,3301,33,,ดงเปือย,,村级暂无可靠中文标准名,คูซอด,เมืองศรีสะเกษ,ศรีสะเกษ,15.1808547,104.2487962,历史点位匹配；上线前抽样复核,220,243,463,133,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,33010305,330103,3301,33,,เวาะ,,村级暂无可靠中文标准名,คูซอด,เมืองศรีสะเกษ,ศรีสะเกษ,15.1981089,104.2943822,历史点位匹配；上线前抽样复核,243,244,487,131,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,34010401,340104,3401,34,,หัวเรือ,,村级暂无可靠中文标准名,หัวเรือ,เมืองอุบลราชธานี,อุบลราชธานี,15.3653573,104.8301149,历史点位匹配；上线前抽样复核,320,358,678,265,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,34010402,340104,3401,34,,หนองมุก,,村级暂无可靠中文标准名,หัวเรือ,เมืองอุบลราชธานี,อุบลราชธานี,15.3404088,104.8514196,历史点位匹配；上线前抽样复核,353,370,723,230,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,34010403,340104,3401,34,,หัวเรือ,,村级暂无可靠中文标准名,หัวเรือ,เมืองอุบลราชธานี,อุบลราชธานี,15.3706254,104.8308648,历史点位匹配；上线前抽样复核,225,279,504,262,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,34010404,340104,3401,34,,หนองจอก,,村级暂无可靠中文标准名,หัวเรือ,เมืองอุบลราชธานี,อุบลราชธานี,15.3697008,104.8352266,历史点位匹配；上线前抽样复核,297,333,630,193,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,34010405,340104,3401,34,,หนองยาง,,村级暂无可靠中文标准名,หัวเรือ,เมืองอุบลราชธานี,อุบลราชธานี,15.3624643,104.8501197,历史点位匹配；上线前抽样复核,405,413,818,268,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,35010201,350102,3501,35,,น้ำคำใหญ่,,村级暂无可靠中文标准名,น้ำคำใหญ่,เมืองยโสธร,ยโสธร,15.8369986,104.1511543,历史点位匹配；上线前抽样复核,194,203,397,175,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,35010202,350102,3501,35,,น้ำคำน้อย,,村级暂无可靠中文标准名,น้ำคำใหญ่,เมืองยโสธร,ยโสธร,15.8178456,104.1546741,历史点位匹配；上线前抽样复核,376,404,780,479,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,35010203,350102,3501,35,,ห้องข่า,,村级暂无可靠中文标准名,น้ำคำใหญ่,เมืองยโสธร,ยโสธร,15.8119061,104.1732946,历史点位匹配；上线前抽样复核,284,340,624,274,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,35010204,350102,3501,35,,ขี้เหล็ก,,村级暂无可靠中文标准名,น้ำคำใหญ่,เมืองยโสธร,ยโสธร,15.8141723,104.1826995,历史点位匹配；上线前抽样复核,285,263,548,196,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,35010205,350102,3501,35,,กุดจอก,,村级暂无可靠中文标准名,น้ำคำใหญ่,เมืองยโสธร,ยโสธร,15.8129875,104.1877859,历史点位匹配；上线前抽样复核,329,355,684,192,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,36010101,360101,3601,36,,หมู่ที่ 1,,村级暂无可靠中文标准名,ในเมือง,เมืองชัยภูมิ,ชัยภูมิ,,,未匹配公开点位,350,377,727,329,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,36010102,360101,3601,36,,หมู่ที่ 2,,村级暂无可靠中文标准名,ในเมือง,เมืองชัยภูมิ,ชัยภูมิ,,,未匹配公开点位,689,833,1522,792,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,36010103,360101,3601,36,,หมู่ที่ 3,,村级暂无可靠中文标准名,ในเมือง,เมืองชัยภูมิ,ชัยภูมิ,,,未匹配公开点位,967,1072,2039,795,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,36010104,360101,3601,36,,หมู่ที่ 4,,村级暂无可靠中文标准名,ในเมือง,เมืองชัยภูมิ,ชัยภูมิ,,,未匹配公开点位,1176,1393,2569,1789,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,36010105,360101,3601,36,,หมู่ที่ 5,,村级暂无可靠中文标准名,ในเมือง,เมืองชัยภูมิ,ชัยภูมิ,,,未匹配公开点位,867,979,1846,1178,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,37010101,370101,3701,37,,อ่างใหญ่,,村级暂无可靠中文标准名,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,15.8630948,104.6319523,历史点位匹配；上线前抽样复核,708,806,1514,859,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,37010102,370101,3701,37,,เจริญสามัคคี,,村级暂无可靠中文标准名,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,15.8597047,104.64313,历史点位匹配；上线前抽样复核,623,751,1374,863,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,37010103,370101,3701,37,,บุ่ง,,村级暂无可靠中文标准名,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,15.8737839,104.6621312,历史点位匹配；上线前抽样复核,684,817,1501,521,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,37010104,370101,3701,37,,โนนใจดี,,村级暂无可靠中文标准名,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,15.8426992,104.6263775,历史点位匹配；上线前抽样复核,1193,1213,2406,1077,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,37010105,370101,3701,37,,เหล่าเจริญ,,村级暂无可靠中文标准名,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,15.9020028,104.6253722,历史点位匹配；上线前抽样复核,472,458,930,442,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,38010101,380101,3801,38,,บึงกาฬกลาง,,村级暂无可靠中文标准名,บึงกาฬ,เมืองบึงกาฬ,บึงกาฬ,,,未匹配公开点位,634,633,1267,1487,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,38010102,380101,3801,38,,ศรีโสภณ,,村级暂无可靠中文标准名,บึงกาฬ,เมืองบึงกาฬ,บึงกาฬ,,,未匹配公开点位,285,280,565,372,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,38010103,380101,3801,38,,บึงกาฬใต้,,村级暂无可靠中文标准名,บึงกาฬ,เมืองบึงกาฬ,บึงกาฬ,,,未匹配公开点位,278,307,585,269,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,38010104,380101,3801,38,,นาโนน,,村级暂无可靠中文标准名,บึงกาฬ,เมืองบึงกาฬ,บึงกาฬ,18.3535059,103.66996,历史点位匹配；上线前抽样复核,478,535,1013,482,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,38010105,380101,3801,38,,ท่าไคร้,,村级暂无可靠中文标准名,บึงกาฬ,เมืองบึงกาฬ,บึงกาฬ,18.3433046,103.688316,历史点位匹配；上线前抽样复核,606,569,1175,684,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,39010101,390101,3901,39,,ห้วยทราย,,村级暂无可靠中文标准名,หนองบัว,เมืองหนองบัวลำภู,หนองบัวลำภู,17.1996146,102.4360423,历史点位匹配；上线前抽样复核,456,457,913,384,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,39010102,390101,3901,39,,ภูพานทอง,,村级暂无可靠中文标准名,หนองบัว,เมืองหนองบัวลำภู,หนองบัวลำภู,17.1988094,102.4375452,历史点位匹配；上线前抽样复核,744,790,1534,1621,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,39010103,390101,3901,39,,โคกแก่นช้าง,,村级暂无可靠中文标准名,หนองบัว,เมืองหนองบัวลำภู,หนองบัวลำภู,17.2012447,102.4377064,历史点位匹配；上线前抽样复核,482,519,1001,486,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,39010104,390101,3901,39,,สุขเกษม,,村级暂无可靠中文标准名,หนองบัว,เมืองหนองบัวลำภู,หนองบัวลำภู,17.1789175,102.4297941,历史点位匹配；上线前抽样复核,390,374,764,251,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,39010105,390101,3901,39,,วังน้ำขาว,,村级暂无可靠中文标准名,หนองบัว,เมืองหนองบัวลำภู,หนองบัวลำภู,17.1485179,102.4461769,历史点位匹配；上线前抽样复核,335,336,671,279,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,40010101,400101,4001,40,,หมู่ที่ 1,,村级暂无可靠中文标准名,ในเมือง,เมืองขอนแก่น,ขอนแก่น,,,未匹配公开点位,423,455,878,362,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,40010102,400101,4001,40,,หมู่ที่ 2,,村级暂无可靠中文标准名,ในเมือง,เมืองขอนแก่น,ขอนแก่น,,,未匹配公开点位,2910,3484,6394,4218,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,40010103,400101,4001,40,,หมู่ที่ 3,,村级暂无可靠中文标准名,ในเมือง,เมืองขอนแก่น,ขอนแก่น,,,未匹配公开点位,2199,2541,4740,2368,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,40010104,400101,4001,40,,หมู่ที่ 4,,村级暂无可靠中文标准名,ในเมือง,เมืองขอนแก่น,ขอนแก่น,,,未匹配公开点位,4784,5592,10376,7890,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,40010106,400101,4001,40,,หมู่ที่ 6,,村级暂无可靠中文标准名,ในเมือง,เมืองขอนแก่น,ขอนแก่น,,,未匹配公开点位,3666,4235,7901,5033,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,41010101,410101,4101,41,,หมู่ที่ 1,,村级暂无可靠中文标准名,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,,,未匹配公开点位,5914,5679,11593,5763,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,41010102,410101,4101,41,,หมู่ที่ 2,,村级暂无可靠中文标准名,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,,,未匹配公开点位,3476,3923,7399,4378,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,41010103,410101,4101,41,,หมู่ที่ 3,,村级暂无可靠中文标准名,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,,,未匹配公开点位,2198,2624,4822,2373,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,41010104,410101,4101,41,,โพนบก,,村级暂无可靠中文标准名,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,,,未匹配公开点位,705,809,1514,711,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,41010105,410101,4101,41,,หมู่ที่ 5,,村级暂无可靠中文标准名,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,,,未匹配公开点位,2720,3131,5851,2667,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,42010201,420102,4201,42,,กำเนิดเพชร,,村级暂无可靠中文标准名,เมือง,เมืองเลย,เลย,,,未匹配公开点位,477,597,1074,449,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,42010202,420102,4201,42,,ท่าแพ,,村级暂无可靠中文标准名,เมือง,เมืองเลย,เลย,,,未匹配公开点位,572,555,1127,798,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,42010203,420102,4201,42,,ปากภู,,村级暂无可靠中文标准名,เมือง,เมืองเลย,เลย,,,未匹配公开点位,223,275,498,199,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,42010204,420102,4201,42,,น้ำภู,,村级暂无可靠中文标准名,เมือง,เมืองเลย,เลย,,,未匹配公开点位,352,354,706,321,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,42010205,420102,4201,42,,หนองผักก้าม,,村级暂无可靠中文标准名,เมือง,เมืองเลย,เลย,,,未匹配公开点位,773,853,1626,854,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,43010101,430101,4301,43,,มีชัย,,村级暂无可靠中文标准名,ในเมือง,เมืองหนองคาย,หนองคาย,,,未匹配公开点位,543,557,1100,789,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
