清单序号,酒店ID,清单酒店名称,携程详情酒店名称,Trip酒店ID,Trip酒店名称,身份核验,采集状态,房型数量,尝试次数,HTTP状态,失败原因,入住日期,离店日期,请求URL,最终详情URL,采集时间
225,711120,曼谷尊贵比左特尔酒店,馨乐庭素坤逸16号曼谷(Citadines Sukhumvit 16 Bangkok),711120,Citadines Sukhumvit 16 Bangkok,酒店ID与携程详情名称一致,成功,3,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-711120/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-711120/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:38:42
226,11540564,曼谷尊贵比左特尔酒店,曼谷素坤逸暹罗塔拉多尔酒店(Siam Tharadol Hotel Sukhumvit),11540564,Siam Tharadol Hotel Sukhumvit,酒店ID与携程详情名称一致,成功,5,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-11540564/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-11540564/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:38:46
227,701794,曼谷尊贵比左特尔酒店,GM服务式公寓(GM Serviced Apartment),701794,GM Serviced Apartment,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-701794/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-701794/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:38:50
228,996747,曼谷尊贵比左特尔酒店,曼谷素坤逸11雅乐轩酒店(Aloft by Marriott Bangkok Sukhumvit 11),996747,Aloft by Marriott Bangkok Sukhumvit 11,酒店ID与携程详情名称一致,成功,12,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-996747/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-996747/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:38:54
229,124287263,曼谷尊贵比左特尔酒店,UHG拉姆甘亨区(The Quarter Ramkhamhaeng by UHG),124287263,The Quarter Ramkhamhaeng by UHG,酒店ID与携程详情名称一致,成功,14,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-124287263/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-124287263/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:38:58
230,23510962,曼谷尊贵比左特尔酒店,曼谷素坤逸 4 巷宜必思尚品酒店(Ibis Styles Bangkok Sukhumvit 4),23510962,Ibis Styles Bangkok Sukhumvit 4,酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-23510962/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-23510962/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:39:02
231,52161242,曼谷尊贵比左特尔酒店,卡奈里斯素万那普店 - 酒店至素万那普机场免费送机(Canalis Suvarnabhumi Airport Hotel – Free Scheduled shuttle from Hotel to Suvarnabhumi Airport),52161242,Canalis Suvarnabhumi Airport Hotel – Free Scheduled shuttle from Hotel to Suvarnabhumi Airport,酒店ID与携程详情名称一致,成功,8,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-52161242/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-52161242/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:39:07
232,107770657,曼谷尊贵比左特尔酒店,"曼谷玛迪派迪酒店，傲途格精选（万豪国际）(Madi Paidi Bangkok, Autograph Collection (Marriott International))",107770657,"Madi Paidi Bangkok, Autograph Collection (Marriott International)",酒店ID与携程详情名称一致,成功,11,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-107770657/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-107770657/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:07:40
233,7617875,曼谷尊贵比左特尔酒店,城市地平线酒店(Civic Horizon Hotel & Residence),7617875,Civic Horizon Hotel & Residence,酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-7617875/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-7617875/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:39:11
234,117671626,曼谷尊贵比左特尔酒店,雪莉曼谷精品酒店(Cherie Bangkok Boutique Hotel),117671626,Cherie Bangkok Boutique Hotel,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-117671626/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-117671626/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:39:15
235,80978694,曼谷尊贵比左特尔酒店,曼谷霍尔姆酒店(Hotel Holm Bangkok),80978694,Hotel Holm Bangkok,酒店ID与携程详情名称一致,成功,9,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-80978694/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-80978694/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:39:19
236,99121154,曼谷尊贵比左特尔酒店,UHG四分之一湄南酒店(The Quarter Chaophraya by UHG),99121154,The Quarter Chaophraya by UHG,酒店ID与携程详情名称一致,成功,18,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-99121154/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-99121154/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:39:24
237,123677180,曼谷尊贵比左特尔酒店,Chiva 89健康世界(Wellness World Chiva 89),123677180,Wellness World Chiva 89,酒店ID与携程详情名称一致,成功,1,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-123677180/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-123677180/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:39:28
238,1457601,曼谷尊贵比左特尔酒店,曼谷暹罗智选假日酒店(Holiday Inn Express BANGKOK SIAM by IHG),1457601,Holiday Inn Express BANGKOK SIAM by IHG,酒店ID与携程详情名称一致,成功,25,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1457601/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-1457601/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:39:32
239,129921372,曼谷尊贵比左特尔酒店,56雅舍精品旅舍(Poshtel 56),129921372,Poshtel 56,酒店ID与携程详情名称一致,成功,5,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-129921372/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-129921372/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:39:36
240,756595,曼谷尊贵比左特尔酒店,西隆爱逸酒店(I Residence Hotel Silom),756595,I Residence Hotel Silom,酒店ID与携程详情名称一致,成功,5,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-756595/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-756595/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:39:40
241,114651682,曼谷尊贵比左特尔酒店,"曼谷素坤逸50万豪行政公寓(Marriott Executive Apartments Bangkok, Sukhumvit 50)",114651682,"Marriott Executive Apartments Bangkok, Sukhumvit 50",酒店ID与携程详情名称一致,成功,7,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-114651682/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-114651682/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:39:45
242,23504927,曼谷尊贵比左特尔酒店,迷失旅馆-BKK(Lost Inn BKK),23504927,Lost Inn BKK,酒店ID与携程详情名称一致,成功,10,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-23504927/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-23504927/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:39:49
243,118985197,曼谷尊贵比左特尔酒店,曼谷巢穴(步行 3 分钟即可到达 ICON SIAM Iconsiam 购物中心)(The Lair Bangkok - 3 mins walk to ICON SIAM),118985197,The Lair Bangkok - 3 mins walk to ICON SIAM,酒店ID与携程详情名称一致,成功,5,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-118985197/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-118985197/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:39:53
244,702261,曼谷尊贵比左特尔酒店,公爵夫人酒店(The Duchess Hotel),702261,The Duchess Hotel,酒店ID与携程详情名称一致,成功,3,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-702261/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-702261/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:39:57
245,124207515,曼谷尊贵比左特尔酒店,UHG水牛橋四分之一酒店(The Quarter Saphankhwai by UHG),124207515,The Quarter Saphankhwai by UHG,酒店ID与携程详情名称一致,成功,7,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-124207515/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-124207515/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:40:01
246,114844024,曼谷尊贵比左特尔酒店,禅师酒店(Zen Master Hotel),114844024,Zen Master Hotel,酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-114844024/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-114844024/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:40:05
247,12617337,曼谷尊贵比左特尔酒店,宜必思尚品曼谷素坤逸康福酒店(Ibis Styles Bangkok Sukhumvit Phra Khanong),12617337,Ibis Styles Bangkok Sukhumvit Phra Khanong,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-12617337/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-12617337/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:40:10
248,995970,曼谷尊贵比左特尔酒店,曼谷亚洲酒店(Asia Hotel Bangkok),995970,Asia Hotel Bangkok,酒店ID与携程详情名称一致,成功,8,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-995970/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-995970/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:40:14
249,1698017,曼谷尊贵比左特尔酒店,曼谷素坤逸 15 瑞享饭店(Mövenpick Hotel Sukhumvit 15 Bangkok),1698017,Mövenpick Hotel Sukhumvit 15 Bangkok,酒店ID与携程详情名称一致,成功,13,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1698017/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-1698017/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:40:18
250,114940825,曼谷尊贵比左特尔酒店,沙吞萨安酒店(Saan Hotel Sathorn),114940825,Saan Hotel Sathorn,酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-114940825/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-114940825/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:40:22
251,703112,曼谷尊贵比左特尔酒店,蒂姆住宅(Tim Mansion),703112,Tim Mansion,酒店ID与携程详情名称一致,成功,13,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-703112/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-703112/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:40:26
252,6002571,曼谷尊贵比左特尔酒店,曼谷盛捷亿甲迈服务公寓(Somerset Ekamai Bangkok),6002571,Somerset Ekamai Bangkok,酒店ID与携程详情名称一致,成功,10,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-6002571/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-6002571/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:40:31
253,103861260,曼谷尊贵比左特尔酒店,丽丽特邦伦普酒店-靠近考山路(Lilit Bang Lumphu Hotel),103861260,Lilit Bang Lumphu Hotel,酒店ID与携程详情名称一致,成功,7,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-103861260/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-103861260/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:40:35
254,702691,曼谷尊贵比左特尔酒店,圣苏湾机场套房(Sinsuvarn Airport Suite Hotel),702691,Sinsuvarn Airport Suite Hotel,酒店ID与携程详情名称一致,成功,15,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-702691/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-702691/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:40:40
255,124190591,曼谷尊贵比左特尔酒店,曼谷盛捷素坤逸71号服务公寓(Somerset Sukhumvit 71 Bangkok),124190591,Somerset Sukhumvit 71 Bangkok,酒店ID与携程详情名称一致,成功,10,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-124190591/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-124190591/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:40:44
256,702934,曼谷尊贵比左特尔酒店,素万那普酒店度假村(The Great Residence Suvarnabhumi Airport),702934,The Great Residence Suvarnabhumi Airport,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-702934/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-702934/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:40:49
257,7614960,曼谷尊贵比左特尔酒店,本雅豪华帕亚泰酒店(The Posh Phayathai),7614960,The Posh Phayathai,酒店ID与携程详情名称一致,成功,8,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-7614960/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-7614960/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:40:53
258,124241131,曼谷尊贵比左特尔酒店,曼谷素坤逸 1 巷凯悦嘉轩酒店(Hyatt Place Bangkok Sukhumvit 1),124241131,Hyatt Place Bangkok Sukhumvit 1,酒店ID与携程详情名称一致,成功,8,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-124241131/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-124241131/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:40:57
259,996677,曼谷尊贵比左特尔酒店,曼谷素坤逸8号馨乐庭酒店(Citadines Sukhumvit 8 Bangkok),996677,Citadines Sukhumvit 8 Bangkok,酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-996677/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-996677/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:41:01
260,101212523,曼谷尊贵比左特尔酒店,天阁胶囊酒店(Tiang Capsule),101212523,Tiang Capsule,酒店ID与携程详情名称一致,成功,9,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-101212523/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-101212523/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:41:05
261,131958741,曼谷尊贵比左特尔酒店,Ralph Poshtel Sukhumvit,131958741,Ralph Poshtel Sukhumvit,酒店ID与携程详情名称一致,成功,8,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-131958741/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-131958741/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:41:09
262,700747,曼谷尊贵比左特尔酒店,"曼谷拉查丹利都喜套房酒店公寓(Dusit Suites Hotel Ratchadamri, Bangkok)",700747,"Dusit Suites Hotel Ratchadamri, Bangkok",酒店ID与携程详情名称一致,成功,7,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-700747/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-700747/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:41:14
263,114721466,曼谷尊贵比左特尔酒店,C'HOUSE 曼谷(C'house Bangkok),114721466,C'house Bangkok,酒店ID与携程详情名称一致,成功,9,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-114721466/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-114721466/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:41:18
264,123411505,曼谷尊贵比左特尔酒店,"乍都乍SimpleStay酒店，最佳西方酒店修尔住宿酒店(SimpleStay Chatuchak, SureStay Collection by Best Western)",123411505,"SimpleStay Chatuchak, SureStay Collection by Best Western",酒店ID与携程详情名称一致,成功,3,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-123411505/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-123411505/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:41:23
265,85168590,曼谷尊贵比左特尔酒店,曼谷素坤逸42号温德姆花园酒店(Wyndham Garden Bangkok Sukhumvit 42),85168590,Wyndham Garden Bangkok Sukhumvit 42,酒店ID与携程详情名称一致,成功,8,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-85168590/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-85168590/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:41:27
266,1522040,曼谷尊贵比左特尔酒店,拉差达Mybed酒店(MyBed Ratchada),1522040,MyBed Ratchada,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1522040/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-1522040/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:41:31
267,996678,曼谷尊贵比左特尔酒店,曼谷馨乐庭素坤逸11号公寓酒店(Citadines Sukhumvit 11 Bangkok),996678,Citadines Sukhumvit 11 Bangkok,酒店ID与携程详情名称一致,成功,3,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-996678/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-996678/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:41:35
268,996751,曼谷尊贵比左特尔酒店,"曼谷素坤逸威斯汀大酒店(The Westin Grande Sukhumvit, Bangkok)",996751,"The Westin Grande Sukhumvit, Bangkok",酒店ID与携程详情名称一致,成功,13,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-996751/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-996751/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:41:39
269,56744067,曼谷尊贵比左特尔酒店,曼谷快乐站酒店(Happy Station Bangkok),56744067,Happy Station Bangkok,酒店ID与携程详情名称一致,成功,14,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-56744067/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-56744067/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:41:43
270,133843163,曼谷尊贵比左特尔酒店,Urban Vibe Bangkok,133843163,Urban Vibe Bangkok,酒店ID与携程详情名称一致,成功,11,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-133843163/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-133843163/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:41:48
