"帖子知识ID","关联问题ID","来源采集阶段","小红书帖子ID","标题","作者","发布日期","URL","帖子正文","正文状态","正文字符数","点赞数","采集时间","内容SHA256","重复来源记录数","重要口径"
"THXHSPOST-02011","THENT-D005","20260826第一阶段主采","69fd8d7a000000002003b8d3","🇹🇭曼谷｜屋顶酒吧推荐来喽～","泰国吃喝玩乐","2026-05-10","https://www.xiaohongshu.com/explore/69fd8d7a000000002003b8d3?xsec_token_redacted=1&xsec_source=pc_dots","1️⃣ View ARUN Restaurant & Bar
这里的日落特别美。建议提前预约靠窗位，点一杯调酒，看着晚霞洒在湄南河上，浪漫指数爆表。
2️⃣ Mojjo Rooftop Lounge Bar
这里的风格偏复古拉丁风，氛围非常Chill。不仅调酒颜值高，他们的特色小吃也值得一试，非常适合朋友聚会。
3️⃣ CRU Champagne
位于Centara Grand顶层，拥有360度无死角的曼谷全景。在这里可以一边🍺，一边俯瞰暹罗商圈的繁华夜色。
4️⃣ Vanilla Sky Rooftop
这里空间比较开阔，不仅有精致的鸡尾酒，还有超赞的DJ现场。看落日渐渐沉入城市天际线，是视觉上的绝对享受。
5️⃣ SOL & LUNA BKK
这家店不仅是酒吧，他们的融合料理口碑也极好。在这里吃一顿落日晚餐，再转场到微醺时光，完美！
6️⃣ Paradise Lost
这里充满了热带色彩和植物点缀，适合喜欢拍照打卡的女孩。调酒的名字也很有创意，整体氛围比较欢快。
💡热门酒吧建议提前1-2周预约，尤其是想看日落的黄金时段。
	
#泰国吃喝玩乐[话题]# #曼谷旅游[话题]# #曼谷屋顶酒吧[话题]# #RooftopBar[话题]# #曼谷探店[话题]# #曼谷日落[话题]# #郑王庙[话题]# #高颜值餐厅[话题]# #清迈生活[话题]# #曼谷微醺攻略[话题]#","present","595","6","Wed Aug 26 2026 01:00:04 GMT-0700 (Pacific Daylight Time)","e02bb9fea7a44a70177b7b0a51378b1b32887390bf6b7c2ef252a82337c575b2","1","本表是各轮点点AI引用小红书帖的去重知识库，不代表小红书平台全部泰国帖子；帖子正文用于实体证据复核"
"THXHSPOST-02012","THENT-S010","20260827第二轮定向补采","69ffefee00000000060321aa","曼谷暹罗美居酒店","克里斯桃桃🍑","2026-05-10","https://www.xiaohongshu.com/explore/69ffefee00000000060321aa?xsec_token_redacted=1&xsec_source=pc_dots","泰国第二站：曼谷
[绿色心形R] 酒店：Mercure Bangkok Siam
[绿色心形R] 价格：我5.4当天定，5.6-5.8共2晚，含早餐，总计1355块软妹币
	
[绿色心形R]房间设施
房间如图，我觉得也不小，完全够住，设施也算新的（回来跟同事聊天，发现他之前去曼谷也住的这家哈哈，都觉得很好👍）
空调可以调静音，对于睡眠浅的人更友好
	
[绿色心形R] 位置
1️⃣BTS National stadium站，出来就是酒店，超级方便好找
2️⃣从这里坐一站到Siam，出来就是暹罗百丽宫，暹罗商场
3️⃣酒店这栋楼里面就有711，很方便啦。出门走50米还有个711（泰国711真的很好逛）
4️⃣出门步行3分钟是曼谷网红天桥，天桥过去就是MBK CENTER（这个商场吃吃饭就行了，没啥好逛的哈哈）
	
[绿色心形R] 服务
1楼会有小哥专门接待，告诉你应该去几楼checkin（因为Mercure和Ibis在一栋楼）小哥会说简单中文[赞R]
美居前台在9楼，服务不错，checkin很丝滑。
需要2000泰铢的deposit，现金或者信用卡支付都可以
	
[绿色心形R] 早餐
就是难吃啦哈哈哈，不如711哈哈哈啊哈哈。垫个肚子还是可以的。
	
#曼谷[话题]# #曼谷旅行[话题]# #曼谷酒店[话题]# #曼谷酒店推荐[话题]# #曼谷酒店攻略[话题]#","present","589","610","Thu Aug 27 2026 06:17:10 GMT-0700 (Pacific Daylight Time)","df2df0d6cb601179a4cdb614474292d65c3d2aab87d3ca77a05e3df583917be1","1","本表是各轮点点AI引用小红书帖的去重知识库，不代表小红书平台全部泰国帖子；帖子正文用于实体证据复核"
"THXHSPOST-02013","THENT-D005","20260826第一阶段主采","6a007dfe000000003701cdf4","在曼谷最高的餐厅用餐🌃是怎样的体验👀","Connism 考尼主义","2026-05-10","https://www.xiaohongshu.com/explore/6a007dfe000000003701cdf4?xsec_token_redacted=1&xsec_source=pc_dots","Ojo Bangkok💛曼谷云端的墨西哥餐厅全攻略
Ojo餐厅位于曼谷王权大厦76楼
这栋建筑也因独特的外立面被称为“马赛克大厦” ，是曼谷的地标之一 (P2)
餐厅也是The Standard Bangkok酒店的一部分
搭乘曼谷公共交通或者打车都很方便🚉
需要提前官网按预定位子，尤其是靠窗位很抢手
因为是摩天大厦，上楼前需要安检+存包哦～
随身小包和相机可以带上去
	
Ojo在西语里是“眼睛”的意思👀
这里也当之无愧是曼谷最明亮的眼睛✨
Ojo坐拥 360 度景观，从76楼得以俯瞰整个曼谷天际线🌃
入夜后流光溢彩的曼谷夜景一览无遗
灯光像星河一样铺开，令人沉醉
整个餐厅是超高空玻璃景观设计
内饰呈现充满复古魅力的极繁主义
就设计而言是曼谷最令人印象深刻的景观餐厅之一
	
在菜品上，与其说是墨西哥菜，更像是独具创意的fusion🍽️
选择很丰富，也不乏惊喜
主厨巧妙改良墨西哥传统烹饪方式🌮
保留墨西哥菜品和调味料精髓的同时大胆创新
呈现出一道道眼睛和舌头都很友好的诱人菜肴
	
用餐后十分推荐去楼上的景观台Sky Walk
在透明的玻璃地板上感受心跳
坐在玻璃步道上超级出片
沉浸式感受车水马龙的城市在脚下徐徐展开
是非常难忘的“餐后体验”😌
	
最后不要错过同样位于顶层的Sky Bar酒吧
是曼谷目前为止最高的屋顶酒吧
为这场云端之上的舌尖体验再添几分醉人意境🍸
	
@The Standard Hotels管理
#曼谷ojobangkok[话题]#
#王权大厦[话题]#
#曼谷旅行[话题]#
#曼谷美食[话题]#
#曼谷餐厅推荐[话题]#
#绝美观景餐厅[话题]#
#云端奢华体验[话题]#
#泰国旅行[话题]#
#浪漫的餐厅[话题]#
#对我友好的旅行[话题]#","present","751","22","Wed Aug 26 2026 01:00:04 GMT-0700 (Pacific Daylight Time)","cb4c017acba43edae02146bd5422834ef5c09aba2fece458343af189671bd4d8","1","本表是各轮点点AI引用小红书帖的去重知识库，不代表小红书平台全部泰国帖子；帖子正文用于实体证据复核"
"THXHSPOST-02014","THENT-D012","20260826第一阶段主采","6a009127000000003601feb4","清迈宁曼｜被数字游民重塑的泰北生活街区","凯西","2026-05-10","https://www.xiaohongshu.com/explore/6a009127000000003601feb4?xsec_token_redacted=1&xsec_source=pc_dots","五一假期在清迈宁曼路住了几天，越逛越能感受到街区很特别的气质✨
整条宁曼路(Nimmanhaemin)满是咖啡馆、酒吧、手作店、瑜伽普拉提馆，还有叶子店，完全是偏向西方年轻人的生活方式，对外国游客、数字游民来说，在这里生活几乎没有语言和生活习惯的转换成本。
其实宁曼原本是清迈大学周边、以本地居民和学生为主的普通居住街区。但随着外籍游客、数字游民、国际长居群体大量涌入，街区业态被逐渐置换，本土平价民生小店慢慢消失，取而代之的是面向中产和外国人的高客单价休闲消费，租金一路上涨，原住民和低收入群体被迫外迁。
宁曼社区从日常居住的生活区，彻底转向国际化旅居消费区，完成了一整个中产化、国际化的重构，妥妥是旅居驱动型士绅化（tourism‑led gentrification / digital nomad gentrification）的典型代表。
看似松弛好住的网红街区，背后是本地生活被悄悄改写的痕迹。
📍P1-5:KLĀY cafe
📍P6-10:The Moon Eatery
📍P11-15:WHYs Nimman Cafe &Restaurant
#一万种旅行howto[话题]# #清迈旅行[话题]# #宁曼路[话题]# #数字游民[话题]# #旅居观察[话题]# #城市士绅化[话题]#","present","554","10","Wed Aug 26 2026 02:08:54 GMT-0700 (Pacific Daylight Time)","6b21a5cee13647a00a45ac1d22b4dee13fedd1210d01e7a70496d097acc7d7b4","1","本表是各轮点点AI引用小红书帖的去重知识库，不代表小红书平台全部泰国帖子；帖子正文用于实体证据复核"
"THXHSPOST-02015","THENT-S004","20260827第二轮定向补采","6a009fc9000000001002d002","泰国马杀鸡🔥真实评测泰国三家很火的按摩","一朵雲","2026-05-10","https://www.xiaohongshu.com/explore/6a009fc9000000001002d002?xsec_token_redacted=1&xsec_source=pc_dots","去了泰国一共五天在芭堤雅和曼谷
都有尝试去不同的按摩，提供给大家做参考✨
整体来说没有最满意的，每一家都有自己的优劣，可以根据评价看自己适合哪个
	
1. Makkha ⭐️⭐️⭐️（图1-3）
轻奢按摩店，一样是连锁的。Terminal 21旁边的分店，尝试的是泰式按摩2h。
整个环境都很高级漂亮，也会有包厢私密度满分。按摩完之后有芒果糯米饭，超级好吃！
	
但会给这个分数是因为价钱实在贵要400RMB，整个按摩流程普普通通没有到特别舒服，环境而言是满分的，但整体来说CP值不高，可以以尝试一次，但之后不会再去（按摩选择太多了）
	
2. Let's relax ⭐️⭐️⭐️⭐️ （图4-5）
在泰国有70多间分店，质素还是有保证的。
我们去的是芭堤雅的分店，去到时候已经很晚了，但前台姐姐依然友好，店裏面香薰的味道特别香。
	
尝试的是45分钟的足部按摩，开始之前会有平板想问可以接受的力度和位置。
	
一开始会先洗脚，利用精油进行足部按摩（包括小腿），技师手法专业，因为店内没其他人所以非常轻松，整体体验不错。
	
3. Arunda oriental massage ⭐️⭐️⭐️⭐️
看到小红书很推介这一间就决定尝试，去到的时候告诉我们要等1小时，最后等了20多分钟就能进去。
选择了泰国草药按摩，环境是比较道地有泰国特色的，没有包厢，只有帘子隔开客人。
	
整体来说按摩比较舒服，感觉手法也比较纯熟，能够按到痛点，也有融合泰式按摩不会只是热敷。
缺点就是可能技师力道比较大的，不受力的要考虑清楚。
这裏也养了几隻猫猫！很幸运遇到两隻～
	
#泰式按摩[话题]# #疗愈SPA[话题]# #马杀鸡[话题]#","present","711","80","Thu Aug 27 2026 06:26:44 GMT-0700 (Pacific Daylight Time)","88aef82cd3fce2e4f581b46ca4c38a668ecfbd7954ea64f1de02915c191965fc","1","本表是各轮点点AI引用小红书帖的去重知识库，不代表小红书平台全部泰国帖子；帖子正文用于实体证据复核"
"THXHSPOST-02016","THENT-G012","20260827餐饮交通补采","69fde9240000000035022ac3","我在泰国的米其林厨师学校上了节舞蹈课？","阿尔文金","2026-05-09","https://www.xiaohongshu.com/explore/69fde9240000000035022ac3?xsec_token_redacted=1&xsec_source=pc_dots","普吉岛的blue elephant厨师学校半日课
太欢乐了，永生难忘！
我爱泰国
这松弛感
	
#泰国普吉岛[话题]# #旅居Vlog[话题]# #蓝象餐厅烹饪课程[话题]# #松弛感[话题]#","present","97","18","Thu Aug 27 2026 07:09:26 GMT-0700 (Pacific Daylight Time)","9bc0ed63bc6d72ec47455e175993112aca9a094588f353d1a8077f6b25ce1b6a","1","本表是各轮点点AI引用小红书帖的去重知识库，不代表小红书平台全部泰国帖子；帖子正文用于实体证据复核"
"THXHSPOST-02017","THENT-S005","20260827第二轮定向补采","69fe0ce0000000003700e6d9","🇹🇭泰国 | 甲米莱利海滩自由行","Kenny","2026-05-09","https://www.xiaohongshu.com/explore/69fe0ce0000000003700e6d9?xsec_token_redacted=1&xsec_source=pc_dots","莱利海滩是甲米最容易到达的旅行目的地之一，特别适合到达甲米的第一天入住之后，花两三个小时过来感受甲米之美。
如果住在奥南海滩，可以在主街尽头的售票点买去莱利海滩的长尾船往返票（200🐷），大概只要十几分钟就可以到达。注意要穿泳裤拖鞋，涉水上船的时候下半身会全湿。
到达莱利后，可以看到海滩尽头一条小型的商业街，两边基本都是酒吧和餐馆，偶尔能遇到🐒，穿过之后往右手边一直走，会到达攀岩区（如果有更多的时间，可以预约这边的攀岩项目），穿过岩体区继续走，就会到达莱利最美最出片的Phra Nang海滩，沿着这个海滩一直往前走，有一块需要涉水才能到达的海中礁石，在这个角度可以看到拍到很多美照。
在这边可以呆到最晚五点多就要原路返回了，返程奥南最晚的长尾船是六点，所以在莱利海滩这边是看不到日落的，但是回到奥南海滩之后可以正好赶上。
#甲米[话题]# #莱利[话题]#","present","382","87","Thu Aug 27 2026 06:28:59 GMT-0700 (Pacific Daylight Time)","e25b7f00bddddc50353db2f3b2c94aab83c81ff8df340627460ec5014693d2ba","1","本表是各轮点点AI引用小红书帖的去重知识库，不代表小红书平台全部泰国帖子；帖子正文用于实体证据复核"
"THXHSPOST-02018","THENT-S002","20260827第二轮定向补采","69fe25dc00000000350283af","普吉岛卡伦马杀鸡 给我爽飞了💆‍♀️","涂涂今天吃什么🐰","2026-05-09","https://www.xiaohongshu.com/explore/69fe25dc00000000350283af?xsec_token_redacted=1&xsec_source=pc_dots","住在普吉岛卡伦沙滩🏝️附近 随便找了家按摩（网上攻略了一下）
	
这家Veena massage看很多人推就去了 在转盘附近 有很多中国人和外国人 按摩阿姨人都很nice
	
按的背+足🦶500泰铢 跟背+头部一样的价格 推荐都来试试 1个小时直接舒服死了
	
#普吉岛[话题]# #普吉岛旅游[话题]# #马杀鸡[话题]# #卡伦沙滩[话题]# #旅游万粉扶持计划[话题]# #泰国[话题]# #泰国马杀鸡[话题]#","present","211","50","Thu Aug 27 2026 06:21:12 GMT-0700 (Pacific Daylight Time)","5c13d628567098ad07b6fc0863ccc1095d3f13d759a8d6ff936f126b7865dbfe","1","本表是各轮点点AI引用小红书帖的去重知识库，不代表小红书平台全部泰国帖子；帖子正文用于实体证据复核"
"THXHSPOST-02019","THENT-D004","20260826第一阶段主采","69fe92a3000000003701c77d","泰国曼谷拉差达火车夜市","落雨无声","2026-05-09","https://www.xiaohongshu.com/explore/69fe92a3000000003701c77d?xsec_token_redacted=1&xsec_source=pc_dots","下午参观王孙寺是一座塔尖式庙宇，晚上到曼谷夜市有名乔德夜市·拉差达，也有叫拉差达火车夜市。夜市很大，受到当地人的喜爱，这里集美食、购物和酒吧一体。站在过街天桥上，可以看到市场全景。网格状对称布局，线条宽敞清晰，中央主干道贯穿，两侧整齐排列摊位。统一白色尖顶帐篷和浅木色框架，风格简约清新，视觉干净明亮。招牌小吃火山排骨，酸辣青辣椒汤底，肋排堆成火山状，肉质软嫩脱骨。还有鱼蛋粉风味浓郁，更多的是泰式小吃合集，芒果糯米饭、香蕉煎饼、脆皮猪、烤大虾、鱿鱼。这里鳄鱼肉是可以出售的，吃了一窜考鳄鱼肉，说不出什么味道，烤肉的口感还不错，加上一碗鱼蛋粉要200泰铢，合人民币50元左右，价格也不便宜。市场上水果新鲜便宜，口感好。这里类似南京夫子庙和门东小食品一条街，所有食品以酸辣味做底料，没有酱油只有鱼露，风味独特。","present","354","13","Wed Aug 26 2026 01:42:04 GMT-0700 (Pacific Daylight Time)","ab5b9c5a876040ea01d13ad76d08fd640fe5c7f1bbcb4421c95b3dae0aac0e05","1","本表是各轮点点AI引用小红书帖的去重知识库，不代表小红书平台全部泰国帖子；帖子正文用于实体证据复核"
"THXHSPOST-02020","THENT-H004","20260901二三线缺口续采","69feaac6000000002301ce5a","合艾→丽贝岛｜亲测不踩雷车船联运全攻略","愛吃貓貓的小魚","2026-05-09","https://www.xiaohongshu.com/explore/69feaac6000000002301ce5a?xsec_token_redacted=1&xsec_source=pc_dots","刚从丽贝岛回来
把所有踩过的坑、实测有效的细节全整理好了
合艾机场直达丽贝的车船联运，看这一篇就够，无脑冲不迷路！
固定班次现在好像就上午2趟，别跑空
✅9:00-13:30 11:30到码头（首选早班）
✅11:00-15:30 13:00到码头
代理买票会发指引图，机场等候点、码头换票流程写得清清楚楚，不用慌！
血泪总结·3个必看避坑点
1️⃣ 8:30落地都能稳赶9点班车，别慌！
合艾机场小到离谱！下飞机→拿托运行李→出机场，全程最多15分钟
甚至能去机场对面711囤点零食再慢悠悠等车，亲测完全来得及
2️⃣ 换票必说这句话，省1小时弯路！
机场到码头车程≈2小时，司机会统一带去换票点
⚠️一定要告诉工作人员说：我要直达丽贝岛的船！
不说大概率被安排先游览周边小岛，纯纯浪费度假时间！
拿到票先去码头门口交钱：
国家公园门票+码头税=220泰铢/人
然后进大厅换登船牌，等叫号上船就行
3️⃣ 上船前，务必做这件事
提前发消息给酒店，告知你的到达时间
丽贝码头全是酒店工作人员举牌等候
找到自己酒店的牌子，行李有人提、接驳车直接送，全程不用自己扛！
丽贝岛真的美到失语，交通顺顺利利，才能把时间全留给大海🌊
#丽贝岛攻略 #合艾到丽贝 #泰国海岛 #丽贝岛交通 #泰国自由行 #小众海岛 #车船联运攻略 #泰国旅行避雷","present","567","98","Tue Sep 01 2026 18:56:30 GMT-0700 (Pacific Daylight Time)","1504056324c5dd08606a98d9952801879f85cccf5e82d6a5d9141d61b21f53e4","1","本表是各轮点点AI引用小红书帖的去重知识库，不代表小红书平台全部泰国帖子；帖子正文用于实体证据复核"
"THXHSPOST-02021","THENT-D017","20260831未采问题增量","69fec0800000000023004892","𝑺𝒂𝒎𝒖𝒊𓈒多少次想回到苏梅岛的夏天⛱️","小允大人","2026-05-09","https://www.xiaohongshu.com/explore/69fec0800000000023004892?xsec_token_redacted=1&xsec_source=pc_dots","/
想把所有时间都浪费在这座小岛上～
阳光，沙滩，热烈的夏天☀️
没有千篇一律的商业化，没有人挤人，一双拖鞋就可以穿街过巷，发呆，看海，吹吹风，就这样散漫慵懒地度过每一天！！
·
🏖️住宿：𝗥𝗲𝗻𝗮𝗶𝘀𝘀𝗮𝗻𝗰𝗲 𝗞𝗼𝗵 𝗦𝗮𝗺𝘂𝗶 𝗥𝗲𝘀𝗼𝗿𝘁 & 𝗦𝗽𝗮
·
▶️ Day 1 | 曼谷✈️苏梅岛
曼谷直飞苏梅岛还是挺快的，大约一个半小时就到，抵达后直接打车到酒店。
	
▶️ Day2 | 赶海、游泳、沙滩漫步🚶🏻‍♀️‍➡️
早上还没那么热，先去沙滩溜达一圈；下午太晒了，就留在酒店拍照玩水，私人泳池挺漂亮的；等太阳下山了，再挑一个附近的海滩去散步、干饭[啤酒R]
	
▶️ Day3 | 涛岛潜水的一天🤿
经典龟岛一日游行程：码头坐船→浮潜点①→浮潜点②→午餐→南园岛自由活动→返回码头（听说南园岛上的风光很好，但我们当时太累了就没上去，大家可以留点精力去爬爬山～
	
▶️ Day4 | Maret & Lamai Beach🛟
上午在酒店游荡，下午再去马叻和拉迈海滩，马叻的街道特别有感觉，拍照也很出片[集美R]，可以从这里走到沙滩，在沙滩看完日落后再去旁边的夜市吃饭。
	
▶️ Day5 | 酒店躺平的一天🏖️
Last day就要好好休息一下，适合酒店staycation，吃喝玩乐和各种拍拍拍📸，躺在沙滩椅上感受海风和大自然……
·
[拍立得R]一些游玩小tips：
✔️紫外线真的很猛，记得做好防晒；
✔️去涛岛的船真的开很快，提前备点晕车药；
✔️带够好看的泳衣/比基尼/帽子/裙子/背心/防晒衣等，再带双舒服点的拖鞋🩴
/
#苏梅岛[话题]# #海边度假[话题]# #泰国[话题]# #泰国旅游[话题]# #苏梅岛酒店[话题]# #苏梅岛旅行[话题]# #苏梅岛穿搭[话题]# #苏梅岛旅游攻略[话题]# #海岛度假[话题]# #海边穿搭[话题]#","present","824","161","Mon Aug 31 2026 19:19:54 GMT-0700 (Pacific Daylight Time)","5f90e8c5f76df1ed940f69a86afd6b52aec0f35c465ad26a5141e7050fa450a9","1","本表是各轮点点AI引用小红书帖的去重知识库，不代表小红书平台全部泰国帖子；帖子正文用于实体证据复核"
"THXHSPOST-02022","THENT-D004","20260826第一阶段主采","69fed9c70000000036032bda","曼谷市集最喜欢的手工作品！","mani","2026-05-09","https://www.xiaohongshu.com/explore/69fed9c70000000036032bda?xsec_token_redacted=1&xsec_source=pc_dots","先放个定位：席娜卡琳火车夜市，Train Night Market Srinagarindra ตลาดนัดรถไฟ ศรีนครินทร์，周四-周日开放
	
曼谷呆了一周，朱拉隆功市集、乍都乍dd mall、唐人街、2nd street都去了，如果你也想逛一些手工艺术或特别的东西，个人只推荐席娜卡琳火车夜市
	
（别的几个真的有一种逛回义乌的感觉好吗）
	
给来这的朋友们推荐两家店
1️⃣Talon arts of living，p1-p8
摊主是位大哥，很厉害的黏土创作者！有各种邪典&地下艺术风格的黏土饰品和小雕塑出售，cult片爱好者不要错过😛图一是我们买的南美缩头雕像、山羊和兔子。
如果你需要的话，摊主还可以帮你免费制作成适合佩戴或者绑丝巾的项链！
大部分价格在400-2000铢，支持Alipay！
	
2️⃣You, me and the sea, p9-p12
店里有各种手绘的木质装饰画/店招，风格质朴，内容很可爱也很有意思，我们买了p9的两幅画一共700铢
	
除此之外席娜卡琳还有很多很有品的vintage服装&家具&玩具、书店、饰品店、美甲店甚至还看到一家斗鱼店，以及很大一片美食区，个人感受比市区的几个市集都有意思得多。
唯一的缺点是真的很远，靠素万那普机场近，离siam大概有二十几公里。但仍然推荐专程前往！
	
#曼谷[话题]##曼谷旅行[话题]# #曼谷夜市[话题]# #席娜卡琳夜市[话题]# #Bangkok[话题]# #vintage[话题]#","present","647","71","Wed Aug 26 2026 00:56:21 GMT-0700 (Pacific Daylight Time)","4acc2727aca34baf7f182f8d82437f76aef42247fcae4b5023b4ca424c9c9471","1","本表是各轮点点AI引用小红书帖的去重知识库，不代表小红书平台全部泰国帖子；帖子正文用于实体证据复核"
"THXHSPOST-02023","THENT-H003","20260901二三线缺口续采","69ff1cc5000000001f007d89","在普吉岛考拉❗️私藏必打卡的海边餐厅","考拉艾美水疗度假酒店","2026-05-09","https://www.xiaohongshu.com/explore/69ff1cc5000000001f007d89?xsec_token_redacted=1&xsec_source=pc_dots","来海岛度假，怎么能少得了一顿氛围感拉满的海边日落晚餐～住在「考拉艾美水疗度假酒店」，直接锁定Beach Grill餐厅，把落日、海风、美食一次性拥有，太有度假的味道了！
·
🌊氛围感满分环境
开放式临海布局，坐拥安达曼海美景；傍晚橘粉色晚霞铺满天际，耳边只有温柔海浪声，晚风轻轻拂面，不用特意找机位，随便落座都是沉浸式海边氛围，情侣约会、闺蜜小聚都超/合适；
·
🍤慢享海边地道风味
餐厅主打新鲜炭火海鲜烧烤和西式扒类，食材鲜活现烤，保留原汁原味；就着落日与海风慢慢细品美食，再配一杯特调小酌，让度假节奏彻底慢下来，吃完整个人松弛又惬意，这才是海岛度假该有的样子！
·
🕖营业时间：每日12:00-22:00
📍考拉艾美水疗度假酒店 Le Méridien Khao Lak Resort & Spa・Beach Grill餐厅
酒店位于泰国南部攀牙府考拉Khao Lak，距普吉国际机场约85公里
#泰国考拉[话题]##泰国旅行[话题]##泰国[话题]##普吉岛[话题]##考拉海滩[话题]##斯米兰岛[话题]##khaolak[话题]##考拉艾美水疗度假酒店[话题]#","present","490","21","Tue Sep 01 2026 18:53:50 GMT-0700 (Pacific Daylight Time)","074ef4cd87c4f26879d150876b2a93a3255c4fc13c3120ff8d028f5a5f3769fe","1","本表是各轮点点AI引用小红书帖的去重知识库，不代表小红书平台全部泰国帖子；帖子正文用于实体证据复核"
"THXHSPOST-02024","THENT-D014","20260826第一阶段主采","69ff26ab000000001b021eaa","🇹🇭清迈必吃/全球top10森林餐厅","YUK1","2026-05-09","https://www.xiaohongshu.com/explore/69ff26ab000000001b021eaa?xsec_token_redacted=1&xsec_source=pc_dots","黑森林餐厅 Khaomao-Khaofang，像一座藏在城市边缘的“森林花园”，连泰国皇室诗琳通公主也造访过。
	
菜系主打泰北料理与经典泰式风味，新鲜香料与在地食材碰撞出层次丰富的味觉体验[猪头R]
	
冬阴功汤我会觉得有点酸，不是很推荐
咖喱软壳蟹真的很好吃很下饭，基本上去哪家店只要menu有我们就一定会点
冰沙草莓的会有点酸，椰子芒果好喝～
	
#森林系餐厅[话题]# #户外花园餐厅[话题]# #大自然餐厅[话题]# #花园餐厅旅游[话题]# #泰国菜[话题]#","present","236","554","Wed Aug 26 2026 01:30:36 GMT-0700 (Pacific Daylight Time)","73c9712a4953ee70e907d701ed9751a838a09dceb9be5b59f28d3dcf44143476","1","本表是各轮点点AI引用小红书帖的去重知识库，不代表小红书平台全部泰国帖子；帖子正文用于实体证据复核"
"THXHSPOST-02025","THENT-H004","20260901二三线缺口续采","69ff37f8000000001e00da71","丽贝岛最全攻略及避坑指南（交通篇）","束束漫游记","2026-05-09","https://www.xiaohongshu.com/explore/69ff37f8000000001e00da71?xsec_token_redacted=1&xsec_source=pc_dots","我们是成都出发的，包括海陆空✈️➡️🚗➡️🚢
凌晨2:40的飞机出发，下午15:30到达丽贝岛，总耗时十几个小时。
	
✈️：天府机场——曼谷——合艾
Tips‼️
关于转机：机票大家看时间安排，如果想快速到达目的地，可以选择和我们一样的红眼航班，就是特别累。到曼谷入境后转机飞合艾，一定要特别注意留够中转时间，办理入境可能排队或者人多会比较慢。
	
🕐我们凌晨4:30落地曼谷廊曼，6:15飞合艾，时间比较紧张，因为当时落地航班特别多印度人，稍微晚点去海关就要排很长队，可能会错过转机。
轻松一点时间宽裕的可以选择到曼谷待一两天再出发合艾。虽然是泰国国内转机，还是尽量提前一点，避免有行李超重等情况导致办理时间延长而误机，有小伙伴赤裸裸的教训，刚办完行李额工作人员说you’re late,挺崩溃的。不要指望柜台工作人员像国内那样的效率和提醒。
	
🚗：合艾机场(Hat Yai airport )——沙墩码头(Satun Pakara)
🎫车船票可以网上买车船联运，一定要注意看清楚，买了票是不能改时间或者改时间需要补手续费！退的话也会扣除大部分的💰或者不能退。所以要确认好时间。
‼️‼️请一定拿好自己的贵重物品，我们乘车到码头，中间上过一次厕所没背包，到码头发现少了6000🐷！🙃复盘分析90%概率是被人拿的。
	
🚢：沙墩码头(Satun Pakara)——丽贝岛码头（Lipe pier）
🕐船运可能根据天气情况等等有延迟，我们当天延迟40分钟才上船。不过船还是提前10分钟到达丽贝岛码头了。
在沙墩码头处需要先购买上岛票🎫200🐷/人，儿童100，和20🐷/人码头管理费。
	
另外也可以从兰卡威坐船到丽贝岛，价格比合艾进贵，大家根据自己行程计划吧。
	
#这才是海岛的正确打开方式[话题]# #玻璃海[话题]# #丽贝岛[话题]# #丽贝岛攻略[话题]# #惬意海岛生活[话题]# #泰国[话题]# #向往的海岛[话题]# #五一出行问活人[话题]# #五一我在现场[话题]# #泰国旅行[话题]#","present","870","43","Tue Sep 01 2026 18:56:30 GMT-0700 (Pacific Daylight Time)","0bffcc9dda11d65d6926aad180c02a287e864f8c19eb7da6b1902cf5ad6256cf","1","本表是各轮点点AI引用小红书帖的去重知识库，不代表小红书平台全部泰国帖子；帖子正文用于实体证据复核"
