行政区,POI业务类型,POI名称,POI细分类型,地理位置描述,游客需求场景,名称直接命中帖子数（非热度）,来源阶段,证据URL,证据内容,重要口径
清镇市,餐饮美食,何记冰粉,冰粉冰浆甜品店,清镇市中环国际美食城外,夜宵解辣或清镇逛吃/花生牛奶、咖啡等冰粉冰浆,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/69f03f930000000036032f66?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：小众旅游·贵阳清镇（美食篇）
正文：[棒R]何记冰粉！清镇老品牌！每次去中环国际都必须搞一杯，连冬天都想搞一杯！必须冲！冰粉品种很多，冰浆口味很好！不是乱七八糟的搭配。我喜欢他家花生牛奶和咖啡滴。",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
清镇市,餐饮美食,十里湖光美学咖啡馆,湖景咖啡馆,清镇市红枫湖镇大冲村,红枫湖自驾与拍照休息/湖景露台、咖啡甜品、披萨意面与日落蓝调,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/6a58b4970000000001033672?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳“小洱海”红枫湖畔法式湖景咖啡
正文：藏在红枫湖边的十里湖光美学咖啡馆，凭法式浪漫与无敌湖景，成了贵阳超火的打卡地。
📸 绝美湖景·法式建筑
奶白色独栋小楼直面红枫湖，视野开阔无遮挡 。
一楼超大落地窗，光影通透
二楼露天露台配白色纱幔，风动氛围感拉满
随手一拍，都是南法度假电影感。
🌅 黄金拍照时间（必记）
15:00–17:00：阳光柔和，湖水清透湛蓝，元气夏日感拉满
日落时分（约19:00）：夕阳洒进窗，湖面染成橘子海，出片率100%
蓝调时刻（日落后30分钟）：天空变蓝紫，店内暖灯亮起，冷暖交织超浪漫
20:00左右：对岸小岛偶有烟花，可拍湖景+落日+烟花同框
🍕 美食与周边玩法
店内餐食：咖啡、果饮、甜品，还有现烤披萨、意面，颜值与味道在线
周边餐饮：隔壁开了十多年的农家乐，烧烤、农家菜、柴火鸡齐全，人均自助烧烤70+
湖边活动：可体验垂钓、桨板、快艇，一站式玩遍湖景
📍 实用信息
地址：贵阳市清镇市红枫湖镇大冲村
导航：直接搜「十里湖光美学咖啡馆」，门口免费停车
营业时间：10:00–20:00
交通：建议自驾，从清镇市区出发约30–40分钟
#湖边咖啡店[话题]# #十[话题]#里湖光美学咖啡#咖啡店[话题]# #贵阳咖啡[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
清镇市,餐饮美食,夺味夺夺粉（清镇吾悦广场店）,夺夺粉火锅店,清镇市吾悦广场,清镇晚餐聚会/本地人推荐的夺夺粉火锅,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/69f03f930000000036032f66?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：小众旅游·贵阳清镇（美食篇）
正文：晚餐：夺味夺夺粉（清镇吾悦广场）本地人按头推荐！我也觉得比另外几家好吃！冲！",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
清镇市,餐饮美食,沙宿庄园,田园农家乐与休闲庄园,清镇市红枫湖镇芦荻哨村,周末团建或田园一日游/采摘、烧烤、农家菜与草坪休闲,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/6a6edbf0000000002800264c?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳周边游｜沙宿庄园田园一日游
正文：🌾周末不想宅家又不想去人多的地方？来贵阳沙宿庄园刚刚好🌿
早上睡到自然醒，开车半小时就到，一进园就是开阔的田园风光，心情瞬间变好☀️
先到菜地里体验一把当农民的感觉，拔萝卜摘生菜，新鲜蔬菜看着就想吃🥬
草莓季还没过！大棚里红彤彤的草莓挂满枝头，边摘边吃甜到心里🍓
中午炭火烧烤安排上，五花肉、鸡翅、玉米、土豆，烤到焦香再蘸酱，太满足了🔥
农家菜也推荐：腊排骨炖萝卜、酸菜鱼、清炒时蔬，每道菜都吃得出新鲜🍲
吃饱在果园里散步拍照，穿浅色衣服在绿色背景里超上镜，朋友圈九宫格安排上📸
下午累了就在草坪上眯一会儿，晒着太阳闻着青草香，太治愈了😌
地址在清镇红枫湖镇芦荻哨村，导航搜贵阳沙宿庄园就到，周末冲起来👏
#清镇红枫湖游玩[话题]# #清镇美食游玩[话题]# #户外自助烧烤[话题]# #贵阳沙宿庄园[话题]# #贵阳团建好去处[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
清镇市,餐饮美食,清镇九化李记老火锅,平价火锅店,清镇市九化、好想来对面,平价正餐/含猪脚、软哨、排骨和肉圆子的锅底与自助蔬菜,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/69e75de60000000022003b71?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：清镇最好吃的酸汤火锅🍲
正文：📍清镇九化李记老火锅，好想来对面，25元/人，锅底有猪脚软哨排骨肉圆子，蔬菜随便吃，主要味道好👍#清镇美食[话题]##清镇九化[话题]# #火锅爱好者[话题]# #贵州酸汤火锅[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
清镇市,餐饮美食,清镇田野集·蓝调小院,湖畔休闲小院,清镇市红枫湖边,周末休闲或旅居体验/含两餐、麻将、晒太阳与钓鱼,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/69312dfb000000001e02cc02?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳本地人周末农家乐（12）清镇蓝调小院
正文：清镇田野集·蓝调小院。宛如置身海边的一个旅居游玩的度假好地方。就在红枫湖边，一天100元包含两餐，可以打麻将晒太阳钓鱼。环境真是100分呀。距离贵阳也就一个小时的车程。地址在最后。",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
清镇市,餐饮美食,甘记安顺特色小吃,安顺小吃店,清镇市城区（具体门牌待地图事实层复核）,清镇逛吃/多味裹卷、脆皮土豆与豆腐圆子,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/69f03f930000000036032f66?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：小众旅游·贵阳清镇（美食篇）
正文：day1️⃣
早餐：羊小子（凤凰栖A区）
午餐：老东门肠旺面（人民广场）
甘记安顺特色小吃
（多味裹卷，脆皮土豆，豆腐圆子必点）",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
清镇市,餐饮美食,雷家卷粉,卷粉与燃面早餐店,清镇市前进路101号、原粮食局对面,清镇早餐/现蒸卷粉、软哨盐菜燃面、骨汤与豆浆,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/6a8518cf000000002500474d?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：排队卷粉店吃燃面清镇隐藏款
正文：清镇雷家卷粉 很多人都推荐过就不赘述了 我推荐的是他们家的面 个人认为比卷粉好吃
[放大镜R]导航清镇雷家卷粉，2元停车自由～软哨和盐菜double加，12r燃面香到跺jio！配骨汤和豆浆，撑到扶墙出💯
我喜欢他家的是面，从小读书开始就喜欢吃他家的燃面（因为清镇原来最好吃的三角花园燃面关店了），ps： 清镇的粉面原材从原材料和制作到口感比贵阳的肯定是好吃的
雷家的油辣椒🌶也是好吃的原因之一，配上淡盐淡甜口的盐菜在里面，一口下去，面香，辣椒香，软哨的口感，盐菜在口中脆感，微微甜咸，中和一下面的碱烧味，简直绝了（ps：有时候会没有盐菜 换成酸萝卜或是其他的小菜 那就差点意思了）#值得为吃而去的小城[话题]# #老城街面馆[话题]# #藏在街头巷尾的城市美味[话题]# #地道家乡小吃[话题]# #三伏天就要吃拌面[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
清镇市,餐饮美食,马老太牛肉粉（四季贵州椿堂府店）,牛肉粉店,清镇市（具体门牌待地图事实层复核）,本地早餐/软烂入味牛肉与Q弹米粉,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/6a8edb0e000000002c03f7d1?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：在贵阳·清镇一天吃了2份早餐
正文：1️⃣清镇马老太牛肉粉
这是本地朋友推荐的的店，米粉Q弹
牛肉软烂，炖的很入味，肉很多。
2️⃣ 卷粉类似肠粉的口感，裹满了酱汁特別香",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
清镇市,住宿酒店,古埃蒙海景美宿,红枫湖湖景民宿,清镇市站街镇杉树村大坡组15号、红枫湖S弯旁,情侣或周末避世/湖景客房、院中热汤、湖畔散步与咖啡空间,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/69d0b301000000001b000807?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：🌊贵阳版“洱海” 🍃住进宫崎骏的动漫世界
正文：在的春日中停下脚步，
在山海的光影里，轻轻落座。
其实不必远行，
在贵阳清镇，也藏着一片“森林里的洱海”。

在这片“森林里的洱海”，春天从不喧哗，
它藏在湖畔微风轻拂的湖畔里，
藏在比冬日更暖的阳光里，
来到了红枫湖畔的那间纯白民宿——古埃蒙。

🚪
推开木门，
一院阳光，一方湖景，
是理想中的温柔角落，
也是来到你的路途慢节奏。

🌼
夜晚泡进院中热汤，
看星星在天上，也在水面；
耳边只有风和远处的虫鸣，
这一刻，旅途也开始慢下来。

☁️
住进了一个被照料得刚刚好的日子，
也有偷得浮生半日闲的时刻，
泡杯咖啡，晒晒太阳，
一切琐碎都被风吹得温柔了。

📍具体地址
贵州省贵阳市清镇市站街镇杉树村大坡组15号
古埃蒙海景美宿

🚗周边交通
距离贵阳市区：约50公里，自驾约1小时。
距离清镇市区：约10公里，自驾约30分钟。
红枫湖景区：就在民宿旁，步行即可抵达湖畔。
网红“S弯”公路：就在民宿左侧，
骑行或散步都能感受“森林洱海”般的电影感。

#贵阳周边游[话题]# #贵州民宿推荐[话题]# #红枫湖[话题]# #治愈系风景[话题]# #小众旅行地[话题]# #周末去哪儿[话题]# #宠物友好民宿[话题]# #山居生活[话题]# #湖边咖啡店[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
清镇市,住宿酒店,桔子酒店（贵阳清镇君悦国际店）,品牌连锁酒店,清镇市，距红枫湖古埃蒙自驾约40分钟,红枫湖周末自驾住宿/干湿分离客房、停车场与充电桩,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/6a8c2533000000001700a050?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：#哪个旅行目的地让你念念不忘[话题]#
清镇｜红枫湖古埃蒙打卡攻略✨入住清镇桔子
正文：#哪个旅行目的地让你念念不忘[话题]#
清镇｜红枫湖古埃蒙打卡攻略✨入住清镇桔子酒店很省心🌊
这次清镇短途游，入住了桔子酒店(贵阳清镇君悦国际店)，专门自驾去红枫湖古埃蒙打卡，整体体验很满意，路线轻松，风景也超出预期🚗。
酒店到古埃蒙不算远，自驾四十分钟左右就能到达，路况比较平顺，开起来不费劲。我们没有赶早出发，在酒店收拾好、吃过早餐后再过去，时间刚刚好，旅途不会太赶。
古埃蒙这边的湖景真的很适合拍照🏖️
湖边有蓝白风格建筑、茅草屋、棕榈树，还有露台和咖啡位，走进去有种小度假的感觉。下午光线柔和的时候拍照很好看，坐在湖边吹吹风，看看远山和湖面，特别放松。
推荐几个比较好拍的点位：临湖露台、茅草屋门头、蓝白建筑、湖边棕榈树、落日观景位。建议下午三四点过去，避开正午太阳，拍照更舒服。傍晚的时候湖面会有金色反光，氛围感特别好🌇。
游玩结束后回桔子酒店休整很方便🛏️
房间干净整洁，床品柔软，卫浴干湿分离，住起来清爽舒适。一天拍照、散步下来，回到酒店能好好放松一下。酒店有免费停车场和充电桩，自驾游客比较友好。
总体来说，这条路线适合周末短途游、朋友结伴或者情侣出行。想打卡红枫湖小众湖景，又不想太累的话，住清镇桔子酒店真的很方便，推荐大家参考📌。
#清镇桔子酒店[话题]# #红枫湖古埃蒙[话题]# #贵阳周边游[话题]# #清镇旅游攻略[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
清镇市,住宿酒店,海友酒店（清镇中环国际店）,品牌连锁酒店,清镇市云岭中路17号、中环国际附近,亲子或短途旅游住宿/百元客房、免费停车、洗衣房及恐龙小镇车程约20分钟,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/69d77f74000000001d01ce94?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：清镇一日游🦖住进侏罗纪世界太快乐了
正文：贵阳周边真的藏了个宝藏恐龙小镇！
从清镇海友酒店出发，全程超顺，玩一天刚刚好～
🏨 入住：海友酒店（清镇中环国际店）
住的是华住旗下的海友，性价比绝了
- 地址：云岭中路17号，近中环国际
- 价格：百元左右，干净舒服
- 交通：门口打车超方便，去恐龙小镇约20分钟
- 福利：免费停车、洗衣房，早餐也很顶
早上8点起床吃个早餐，9点出发刚刚好～
🚗 出发：清镇→恐龙小镇
导航直接搜「清镇恐龙小镇」
- 地址：清镇市站街镇三河村云站路46号
- 车程：约20分钟，打车/自驾都可
- 停车：景区门口停车场，2元/小时，20元封顶
- 门票：成人158r，儿童99r，亲子套票更划算
- 时间：10:00-18:00（建议早点去，玩一整天）
🦕 入园：一秒穿越侏罗纪
一进门直接被震撼！超多1:1仿真恐龙，会动会叫超逼真
整个园区分好几块，路线给你们理好了👇
1. 神秘河谷（必去！）
小火车必坐！20r/人
穿梭在丛林里，两边全是恐龙
霸王龙、三角龙、腕龙… 沉浸式拉满
拍照巨出片，氛围感直接封神
2. 德尔斐城（刺激党冲）
- 清镇之眼摩天轮：103米高！俯瞰全园绝美
日落时分坐，浪漫到想原地结婚
- 侏罗纪过山车：垂直俯冲+360°旋转，尖叫到失声
- 海盗船、跳楼机、碰碰车… 玩到爽
3. 古化石之歌（科普+互动）
恐龙博物馆超震撼，上万件化石
VR体验穿越侏罗纪，太真实了
还能玩考古挖掘，当小小考古家挖恐龙化石
大人小孩都爱，边玩边学超有意义
4. 奇趣童堡（亲子/拍照）
无动力乐园、摸鱼抓虾、彩虹滑道
小朋友疯玩一下午不喊累
大朋友也能找回童年，拍照巨可爱
🍔 吃喝：园区里就有
餐厅、小吃都有
价格不算便宜但能接受
建议自带点水和零食，玩起来更爽
✅ 亲测实用Tips
1. 穿运动鞋！园区大要走很多路
2. 防晒+驱蚊，丛林里蚊子多
3. 小火车必坐，省超多力气
4. 周末人稍多，但项目排队不算久
5. 1米以下小朋友免票，遛娃超友好
✨ 总结
从海友酒店出发，一天玩遍恐龙小镇
刺激项目、科普互动、拍照打卡全满足
不管是遛娃、闺蜜游、情侣约会都超合适
贵阳周边游真的可以直接冲！
#清镇旅游[话题]# #贵阳周边游[话题]# #恐龙小镇[话题]# #清镇一日游[话题]# #海友酒店[话题]# #侏罗纪世界[话题]# #贵州亲子游[话题]# #周末去哪儿玩[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
白云区,餐饮美食,何记姊妹特色餐馆,居民楼家常菜馆,白云区龚家寨龚西路33栋3门1号,本地家常正餐/炝锅鱼、宫爆板筋、酸菜豆米与酸菜洋芋,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/69cdff3b000000002102d2a6?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳美食｜白云区何记姊妹特色餐馆
正文：藏在小区居民楼里的美食
这家是真正的开在居民楼里的
第一次去的时候找不到 老板还走门口来接我们
开在楼里的一楼，有包间，小桌子一张桌子坐4-5个人。中午下午人都不少～
炝锅鱼绝对是他家一大特色，辣椒的香味，还带着一点甜味，吃起来不奇怪，还很上头，下午去晚了就没有🐟了～
还有一个特色就是宫爆类的菜品，宫爆板筋、宫爆腰花、宫爆鸡丁。
糖醋排骨很多人都强推，我点过一次，觉得有点硬，咬不动。
汤也是很下饭的，酸菜豆米、酸菜洋芋。
老板家会按人头发筷子，收米饭费用～

tips：
店名：何记姊妹特色餐馆📍
地址：白云区龚家寨龚西路33栋3门1号📍
人均：50-80元
推荐指数：☀️☀️☀️☀️（6刷）

会持续分享贵州本地美食，旅行中美食美景的幸运小李。✨✨✨✨✨
#街头巷尾的苍蝇馆子[话题]# #本地爱吃的店[话题]# #好吃的老店[话题]# #跟本地人吃就对了[话题]# #本地人爱吃的菜[话题]# #只有当地人才知道的店[话题]# #巷子里的刁角美味[话题]# #居民区里的美食[话题]# #贵阳美食[话题]##炝锅鱼糖醋排骨[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
白云区,餐饮美食,周进家乡特色火锅,干锅火锅店,白云区（具体门牌待地图事实层复核）,本地聚餐/牛肉与脆肠拼锅、免费蔬菜及旁店冰粉,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/69ee2cec0000000037034c11?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳白云区“周进家乡特色火锅”
正文：提到白云区好吃的美食“周进家乡特色火锅”绝对上榜，他家生意好的时候3个门面都坐不下需要拿号排队。大概吃过5-6次了，确实味道好吃，是那种很香的干锅，还不太好形容好吃的点。吃过他家的脆肠、蹄花、牛肉，首推牛肉，但是可以拼，像上次我们拼的就是牛肉+脆肠，3个人小锅的牛肉+脆肠，共计140左右，蔬菜免费，挺好吃！！！个人觉得可以！！！
旁边还有冰粉，来一碗很nice #贵阳美食[话题]# #周进家乡特色火锅[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
白云区,餐饮美食,楠胖子肉蟹煲（方圆荟店）,肉蟹煲餐厅,白云区方圆荟四楼,朋友聚餐/现杀活蟹、软糯鸡爪、年糕与自助水果小吃,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/6a8e5ff6000000001803e666?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳白云区！！！数一数二好吃的肉蟹煲…🤤🤤
正文：白云区方圆荟四楼新开的！！冲去吃了。。。
活蟹现杀的，端上来蟹壳还是红亮的！！！
肉是紧实的那种，一口下去……
嗯嗯...  就知道新鲜度没糊弄人!!!

鸡爪炖到一抿就脱骨，我这种懒人太爱了hhh
年糕糯叽叽的吸满汤汁，拌饭真的绝了！！
香辣口的酱汁往米饭上一浇，两碗起步不是吹的！！

自助区也有点惊喜，有应季的水果和小吃！！
吃完咸辣的来两块刚好压住！！
坐着聊天也不慌，整体环境蛮舒服的！！
朋友聚餐完全OK！！！
下次带饭搭子来扫别的煲！！！

#贵阳美食[话题]# #楠胖子肉蟹煲[话题]# #周末吃什么[话题]# #肉蟹煲店[话题]# #肉蟹煲推荐[话题]# #聚会好去处[话题]# #肉蟹煲[话题]# #白云区美食[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
白云区,餐饮美食,老凯里牛滚烫,酸汤鱼与牛肉火锅店,白云区朝晖路,两人平价正餐/酸汤江团鱼、自助蔬菜与贵州风味火锅,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/692083f3000000001e035336?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：谁懂在贵阳吃到正宗凯里酸汤鱼的救赎感
正文：好久没在贵阳吃到好吃的酸汤鱼了[哭惹R]
今天路过这家老凯里牛滚烫（位置在白云区朝晖路）进去试了一下发现味道真的很正宗，一瞬间就更想家了[哭惹R]
我们两个人点了一个小锅58，鱼是江团大概一斤左右分量还是挺多的，蔬菜是自助的，去的时候有点饿就多点了一个凉菜皮蛋。最最重要的是老板娘很热情而且态度超好，我们在犹豫点什么锅和点不点其他小菜的时候，老板娘会让我们按自己的食量和饿的程度来点，完全不会推销说让我们多点点反而是一直在说不想点就不点不要有心理负担[赞R]
#酸汤自然发酵[话题]# #酸汤鱼[话题]##贵州美食[话题]# #巷子里的美食[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
白云区,餐饮美食,苗外婆酸汤鱼,酸汤鱼与家常菜馆,白云区（具体门牌待地图事实层复核）,家庭正餐/酸汤黄辣丁、炝锅鱼、炒板筋与炸汤圆,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/68116d1f000000000e0066e4?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳白云区苗外婆酸汤鱼
正文：最近几年我妈都喜欢带我来这家吃，确实很好吃，关键是她家有炒菜！炒板筋怒点两份，😋 炝锅鱼也很入味，炸汤圆太好吃了😋，我每次自己在家用空气炸锅炸都会爆，这个状态刚刚好，皮脆流心[哇R]
酸汤特别好喝开胃，每次吃完都要买她家的酸汤料带回去自己做[飞吻R]

我每次吃这个黄辣丁我都喜欢吃后半截尾巴，真的直接炫嘴里，直接脱骨[大笑R]

#酸汤自然发酵的传承者[话题]# #吃辣喝酸尝鲜[话题]# #酸汤自然发酵[话题]# #鱼火锅[话题]# #鱼汤很鲜美[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
白云区,餐饮美食,食乃客台湾风味店,台湾风味甜品与简餐店,白云区白沙关社区服务中心龚西路31-1-6号,居民区甜品或简餐/花生刨冰、卤肉饭与炸物,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/6a9016b50000000026007e0d?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳美食｜白云区食乃客台湾风味店-安安推荐
正文：朋友推荐，意外好吃的一家台湾风味花生冰～
进店就是很有年代感的老店，吃了几次都只吃的花生冰。他们家冰有刨冰、冰淇淋、沙冰，花生冰也分原味、+燕麦、+红豆、燕麦拼红豆。
刨冰很细绵，吃起来很舒服，上面一层花生酱（花生酱是老板自己烘焙的）中间一层纯冰，下面是一层糖浆+冰，建议搅拌一起后吃。15元一份，分量很足，两个人吃都足够。[大笑R]
他们家还有卤肉饭、薯条、炸鸡、其他甜品。[心心眼R][心心眼R]
花生冰+燕麦最多人吃，还有卤肉饭也是必点（吃过的都说香，有台湾博主猫是安安推荐过，据说还比较正宗哦）。
老板家很贴心的贴了个外面臭豆腐和炸豆腐圆子的外卖表（下篇分享哦），美食就是要一起吃吃吃～[点赞R][点赞R][点赞R]

tips：
店名：食乃客台湾风味店📍
地址：白云区白沙关社区服务中心龚西路31-1-6号📍
人均：15-50元左右
推荐指数：☀️☀️☀️☀️（3刷）

会持续分享贵州本地美食，旅行中美食美景的幸运小李。✨✨✨✨✨
#寻找风味小店[话题]# #隐藏于街头巷尾的美食[话题]# #美食探店[话题]# #居民区里的美食[话题]# #贵阳美食[话题]# #贵州美食[话题]# #台湾风味#冰[话题]##卤肉饭[话题]# #白云区美食[话题]# #老店推荐[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
白云区,住宿酒店,小蓝湖露营烧烤基地,湖畔露营与营地住宿,白云区靛山村、近修文边界,露营或周末户外住宿/帐篷与湖景小屋、烧烤、桨板、钓鱼和咖啡,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/68d0f576000000000b010944?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：是新疆还是贵阳？
正文：贵阳藏得可太深了！没想到距离观山湖半小时的地方居然藏着这么一个像极了新疆的宝藏营地！
📍 导航：小蓝湖露营烧烤基地（属于白云区靛山村，和修文挨着）。最好开suv，最后2公里基本上全是石子路，尤其最后一段路窄坑大，轿车下去有点费时间，容易刮蹭底盘。
🔖  可以咖啡可以烧烤可以露营可以住宿可以桨板可以钓鱼可以麻将，但水较深，不适合游泳。咖啡不贵，品质还可。住宿基本上都是帐篷，有一栋湖边小屋（见图），是上下两层共计两间带卫生间的全湖景大床房。帐篷住宿区搭在湖边山上，有吊床什么的，适合拍照。
📷  很适合拍照，营地拍湖最好的位置有个大的取景框造型，很好拍（我们去的时候大相框正在布置求婚现场，所以没拍），拍树林和湖同框最好的位置在大相框旁的木桩楼梯上去，搭建了两个平台，正好和对面树林平行，很好拍！
整个营地氛围感足足的，森林区还可以拍摄暮光森林感的照片，看得出来老板很用心。

#贵阳周边游[话题]# #贵阳周末好去处[话题]# #山野咖啡[话题]# #手机摄影[话题]# #小众旅行[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
白云区,住宿酒店,村上·湖山小院,湖畔民宿与农家乐,白云区沙文镇扁山村、直面沙文水库,家庭或朋友湖畔度假/观景客房、农家菜、烧烤、垂钓与K歌,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/6a0469430000000038034eb7?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳半小时直达！湖畔小院美到不想走✨
正文：谁懂啊！在贵阳挖到一处离城超近的湖畔秘境，开车半小时直达，藏在山水间的治愈小院，来了就不想走～
🏡【村上·湖山小院】
📍地址：贵阳白云区沙文镇扁山村
🚗交通：市区自驾约30min，金阳/扎佐过去10分钟，离城近不折腾！
💙【推窗即湖景，环境美到窒息】
小院直面沙文水库，出门就是湖，推窗见绿水，青山环抱，绿植簇拥，空气里都是草木清香～
白墙黛瓦的简约设计，搭配湖畔草坪与帐篷，随手一拍都是清新治愈风，傍晚夕阳洒在湖面，波光粼粼氛围感直接拉满！
🌿【远离喧嚣，躺平式放松】
没有城市的车水马龙，只有风声、水声与鸟鸣，安静又治愈。
可以沿湖散步、湖边垂钓，或在院子里喝茶小坐，吹着“爽爽贵阳”的风，瞬间卸下所有疲惫～
晚上灯光亮起，水影摇曳，和朋友小酌聊天，惬意又浪漫～
✨【吃喝玩乐一站式】
✅ 住宿：简约干净的客房，部分带观景阳台，枕着湖光山色入睡
✅ 美食：地道农家菜+湖畔自助烧烤，新鲜食材，烟火气十足
✅ 娱乐：免费钓鱼、K歌、打麻将，朋友小聚/家庭出游超合适
不用远行，逃离城市计划就此达成！
周末约上家人朋友，来这里赴一场湖山之约，把日子过成诗～
#贵阳周边游[话题]# #贵阳民宿[话题]# #湖畔小院[话题]# #周末去哪儿[话题]# #贵阳避暑好去处[话题]# #村上湖山小院[话题]##乡村小院[话题]# #油画般的春天[话题]# #藏于山水间的度假胜地[话题]# #好风景就在云下湖畔[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
