审核行ID,证据序号,问题ID,图谱实体ID,目标实体类型,POI名称,行政区,小红书帖子ID,标题,作者,发布日期,URL,机器分流状态,分店或位置上下文命中,游客语境线索,攻略清单风险,商家营销风险,经营状态风险,疑似协同营销,近重复组ID,可用字段范围,待审核原文上下文,直接指向实体,分店确认,游客亲历,独立用户,可用体验断言,风险复核结论,目标字段,断言值,连续引文,审核决定,审核说明,审核人,审核时间
xhs-review-a927bbddcd3cb191c875ac0d,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,669294e400000000250027c9,去茶山贵阳万象城,山山,2024-07-13,https://www.xiaohongshu.com/explore/669294e400000000250027c9?xsec_token_redacted=1&xsec_source=pc_dots,待语义审核,是,否,否,是,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"去茶山贵阳万象城
去茶山首家城市旗舰店,今天终于开业了,我们希望这家店能成为贵州在地文化的超级传播场。#去茶山[话题]# #贵阳[话题]# 另外城市旗舰店有了,是不是可以上深圳的全国旗舰店了呀!",,,,,,,,,,,,,
xhs-review-79d35262d68e2be8be3ae10f,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,67df99e3000000001a006cea,Super去茶山喝了,Kevyn,2025-03-23,https://www.xiaohongshu.com/explore/67df99e3000000001a006cea?xsec_token_redacted=1&xsec_source=pc_dots,待语义审核,是,否,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"Super去茶山喝了
来了贵阳怎么能不喝本土品牌,去茶山和宜北町都要试试
开在万象城的去茶山旗舰店,和成都万象城那家的相比,区别就是这里的空位太太太多了,很多沙发软座,适合逛累了中场休息。成都周末店里根本没有座位。阳光明媚的周天下午,阳台上还有十几桌空坐,旁边几家奶茶店也是。
芭乐和抹茶结合很不错[赞R]
#去茶山[话题]# #贵阳探店[",,,,,,,,,,,,,
xhs-review-0211998dd5995e003ddf5410,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,6891a3ce0000000004000c0c,环境超好!,biubiubiu,2025-08-05,https://www.xiaohongshu.com/explore/6891a3ce0000000004000c0c?xsec_token_redacted=1&xsec_source=pc_dots,待语义审核,是,否,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"环境超好!
贵阳万象城的这家去茶山超级店环境超级好![赞R][赞R][赞R]而且就在贵阳火车站边上,在等火车的时候来这里喝上一杯醇香的抹茶鲜奶,不要太安逸![飞吻R][飞吻R][飞吻R]
#去茶山[话题]# #贵阳万象城一周年[话题]#",,,,,,,,,,,,,
xhs-review-9bdae64e0333b3dd73c86944,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,6897fb42000000000500651c,去茶山贵阳万象城城市旗舰店店庆快乐!,小红薯65C4E9B8,2025-08-10,https://www.xiaohongshu.com/explore/6897fb42000000000500651c?xsec_token_redacted=1&xsec_source=pc_dots,待语义审核,是,否,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"去茶山贵阳万象城城市旗舰店店庆快乐!
祝你生日快乐—去茶山贵阳万象城城市旗舰店!
时间过得好快,去茶山贵阳万象城城市旗舰店就迎来了一周岁生日。翻了翻手机,正好一年前的今天走进你家,正好有活动盖到了城市限定章P10,但遗憾城市冰箱贴没有了。一周后,参加去茶山盖章活动,又来了,盖到了店章P11。一年后的现在,章有两个了P9。
希望明年再来祝你生日快乐!出更",,,,,,,,,,,,,
xhs-review-f4038b57f36ec95c4e77921e,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,68b1892a000000001d00145f,用人民币在贵阳喝到天花板去茶山!,陶罐,2025-08-29,https://www.xiaohongshu.com/explore/68b1892a000000001d00145f?xsec_token_redacted=1&xsec_source=pc_dots,待审核_跨区行程上下文,是,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"用人民币在贵阳喝到天花板去茶山!
刚到贵州就想喝 去茶山[喝奶茶R]
在凯里没遇到 但是吃到了超级好吃的酸汤火锅
(而且那个姐姐超级好 因为太晚前一晚又没吃到
还帮我们预留菜出来等我们过去吃[哭惹R]真的会哭死)

所以今天刚到贵阳就直奔 去茶山!!
在万象城里面走了两圈没看到!!导航都没用

刚到贵阳的小伙伴 可以走万象城2号门(不要进)
左手边",,,,,,,,,,,,,
xhs-review-8e987eb5db12fbb106bc32e7,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,68c3f6d8000000001d0268af,贵阳万象城超级去茶山一周年,小野^^🍆🥕,2025-09-12,https://www.xiaohongshu.com/explore/68c3f6d8000000001d0268af?xsec_token_redacted=1&xsec_source=pc_dots,待语义审核,是,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"贵阳万象城超级去茶山一周年
兜兜转转又回到贵阳,速速冲向""去茶山"",上次喝冰浆,这次喝抹茶
#贵阳万象城一周年[话题]# #去茶山[话题]#",,,,,,,,,,,,,
xhs-review-18a14d0e53dbcb3b3ec140fe,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,68e21fc1000000000302cab2,贵州~贵阳去茶山,玉子烧,2025-10-05,https://www.xiaohongshu.com/explore/68e21fc1000000000302cab2?xsec_token_redacted=1&xsec_source=pc_dots,待审核_跨区行程上下文,是,否,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"贵州~贵阳去茶山
去茶山(贵阳万象城店)
遵义路328号万象城二楼户外

推荐招牌贵州铜仁抹茶小丸子冰浆配抹茶冻!!
抹茶醇厚不涩 小丸子软糯Q弹
冰浆细腻无冰渣 甜度把控精准
搭配的抹茶冻清爽回甘
强烈推荐给不爱甜腻的抹茶控!

#去茶山抹茶[话题]# #茶饮[话题]# #去茶山[话题]# #去茶山店[话题]# #去茶山抹茶系列[话",,,,,,,,,,,,,
xhs-review-edd6d72cc48702776693b0c9,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,68e48eb2000000000302d4f1,嘻嘻爱喝珍珠奶茶之贵州去茶山篇,嘻嘻爱喝珍珠奶茶,2025-10-07,https://www.xiaohongshu.com/explore/68e48eb2000000000302d4f1?xsec_token_redacted=1&xsec_source=pc_dots,待审核_跨区行程上下文,否,否,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"嘻嘻爱喝珍珠奶茶之贵州去茶山篇
那些去茶山们~
1.干酪云南普洱鲜奶茶 有一点点苦涩的味道,被牛奶中和的刚刚好,没有其他奶茶很重的香精味,少甜刚刚好,五星推荐~(我愿称之为去茶山之最,干酪香非常足,加冰喝入口极佳,自驾路上有他快乐倍倍)

2.贵州刺梨茉莉花 入口酸涩,有一种难以形容的味道。第一次尝试记得点堂食,接受不了可以免费换杯。(点堂食是堂食",,,,,,,,,,,,,
xhs-review-a83b09df1dc6c3ad3a76f2ec,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,68f4deca0000000007017bf8,去茶山限定秋酿这杯咖啡有点“野”,贵阳万象城,2025-10-19,https://www.xiaohongshu.com/explore/68f4deca0000000007017bf8?xsec_token_redacted=1&xsec_source=pc_dots,待语义审核,是,是,是,是,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"去茶山限定秋酿这杯咖啡有点“野”
贵阳秋天这杯真的有点“野”~
「去茶山」先一步懂你!
贵阳文旅×去茶山的梦幻联名
秋季限定酿造上线啦!
【红心猕猴桃美式】真的太绝了~

把山的诚恳与秋的富饶,都装进这一杯里。
当红心猕猴桃的酸甜遇上咖啡的醇香,
果香炸裂、咖啡回甘,
一口下去直接“秋天到嘴边”
是秋酿的味道,也是贵阳咖啡之城的自信感!

阿万",,,,,,,,,,,,,
xhs-review-350e3ef063f94c4974534a2a,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,692a7eaf000000000d03fed2,万象城 去茶山,Clearlove,2025-11-29,https://www.xiaohongshu.com/explore/692a7eaf000000000d03fed2?xsec_token_redacted=1&xsec_source=pc_dots,待语义审核,是,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"万象城 去茶山
第一次来贵阳 非常好喝 值得来喝一杯 万象城门店环境特别好#去茶山[话题]#",,,,,,,,,,,,,
xhs-review-8e9443597391e20a1384dc6f,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,694767af000000001e00ee32,去茶山(亲测版),希望我要快乐～,2025-12-21,https://www.xiaohongshu.com/explore/694767af000000001e00ee32?xsec_token_redacted=1&xsec_source=pc_dots,待审核_跨区行程上下文,否,是,是,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"去茶山(亲测版)
周末去贵阳玩儿,去之前做了攻略,所以慕名去喝了#去茶山[话题]# ,去之前在上搜了点单攻略,喝了很火的两款,最后却被“青岩玫瑰”一整个爱上了!

[樱花R]干酪云南普洱鲜奶茶
第一次喝少冰,少少甜,稍微偏淡。
第二次喝少冰,七分甜,甜度合适。
通价格:22.9(中杯500ml)
口味:不搅拌第一口喝下面奶味",,,,,,,,,,,,,
xhs-review-ade667949399bc137c58fb02,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,6958c9e6000000001f006197,贵阳龙洞堡T2安检极限15分钟拿到去茶山,momo,2026-01-03,https://www.xiaohongshu.com/explore/6958c9e6000000001f006197?xsec_token_redacted=1&xsec_source=pc_dots,待审核_分店上下文不足,否,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"贵阳龙洞堡T2安检极限15分钟拿到去茶山
T2安检时候刷到龙洞堡T3有去茶山,在408正对面。都是说要提前1小时 最少也是30分钟 安检完已经距离登机20分钟,决定冲一下,往返实际用了15分钟!

1、安检排队就从小程序开始点单,我点的时候前面30杯,制作时间5分钟
2、安检完成左转往301~308指示牌方向走,看到T3航站楼直走(图2)
3、路过T3安检往",,,,,,,,,,,,,
xhs-review-798c9c0883f83496f3e731bd,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,69ba8121000000002800accb,去茶山的生日附必点饮品+伴手礼攻略,zky,2026-03-18,https://www.xiaohongshu.com/explore/69ba8121000000002800accb?xsec_token_redacted=1&xsec_source=pc_dots,待审核_跨区行程上下文,是,是,是,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"去茶山的生日附必点饮品+伴手礼攻略
去茶山26岁啦~这次去万象城的自然客厅才发现他们出了好多限定款和周边~
整理了一份我的私藏点单+伴手礼攻略

【必点饮品】
贵州铜仁抹茶爆爆珠鲜奶茶(26周年)
经典的配方重现!茶底是抹茶+鲜奶,不出错

贵阳冰茶气泡嗨酱香版(冰饮必点)
贵州浓郁的酱香酒,红茶和猕猴桃融合的甜,还有刺梨的回甘香~~~kk",,,,,,,,,,,,,
xhs-review-e632c73b2f549e425727f1d4,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,69c3c161000000002200e345,"贵阳销售额最高的商场万象城,任重道远",重庆灯晃哥,2026-03-25,https://www.xiaohongshu.com/explore/69c3c161000000002200e345?xsec_token_redacted=1&xsec_source=pc_dots,待审核_跨区行程上下文,是,是,否,是,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"SMFK、THE NORTH FACE、萨洛蒙、mont·bell、Hoka、Head、Klattermusen攀山鼠、KAILAS凯乐石、 SND、华为、Ole超市、lululemon、无印良品、优衣库、YSL美妆、Lamer、HR、芸山季、同仁四季椰子鸡、野果、悦得闲、失重餐厅、NEED创意韩国料理、九十葉·抹茶、去茶山、Manner Coffee等

概述:贵阳万象城是华润置地独立开发的综合商业体,配套有5A级写字楼和高端住宅。从硬件角度,传承了万象城产品线的优秀基因,但更有万象天地的影子。开业初期为贵阳带来120多家城市首店,不到2年的运营时间,就成为贵阳销售额最高的商场,证明贵阳人民对万象城的认可。

随着直接竞争对手荔星中心G",,,,,,,,,,,,,
xhs-review-570016b5c1792cd0f389649d,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,69ccc069000000002100456e,去茶山特调气泡饮品,VIVI 鬼妹,2026-04-01,https://www.xiaohongshu.com/explore/69ccc069000000002100456e?xsec_token_redacted=1&xsec_source=pc_dots,待语义审核,是,否,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"去茶山特调气泡饮品
今天来到了去茶山贵阳的旗舰店,看到勒旗舰店才有的贵阳冰茶茅台版的饮品,而且是真正的茅台哟,下次路过一定要试试,味道应该会很特别#我在去茶山万象城店[话题]# #一杯好喝的水[话题]# [偷笑R][飞吻R]",,,,,,,,,,,,,
xhs-review-7d8a26fcf23703aa6017aa10,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,69f9ea3600000000360025a4,贵阳奶茶三巨头测评,大脸Amber,2026-05-05,https://www.xiaohongshu.com/explore/69f9ea3600000000360025a4?xsec_token_redacted=1&xsec_source=pc_dots,待审核_分店上下文不足,否,否,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"贵阳奶茶三巨头测评
去茶山、李山山、宜北町
总体评价:去茶山>宜北町>李山山
1去茶山:
干酪普洱鲜奶茶>蓝莓酸奶>干酪抹茶鲜奶茶>玫瑰红茶鲜奶茶>抹茶芭乐>小麦胚芽鲜奶茶>香禾糯糯鲜奶茶
去茶山还喝了抹茶芭乐(太甜本人极不爱甜,融合的还可以)和香禾糯糯普洱鲜奶茶(一般),最好喝干酪普洱鲜奶茶,机场买了两杯回厦门 哈哈哈哈哈哈!蓝莓酸奶不甜也好",,,,,,,,,,,,,
xhs-review-d0fcdfe2e601988da2a674ff,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,69fee32c0000000038034e65,贵阳丨唯一值得,Hanatiti,2026-05-09,https://www.xiaohongshu.com/explore/69fee32c0000000038034e65?xsec_token_redacted=1&xsec_source=pc_dots,待审核_跨区行程上下文,否,否,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"贵阳丨唯一值得
去茶山,夯爆!

青岩玫瑰红茶鲜奶茶⭐⭐⭐⭐
玫瑰党狂喜,不是香精味的玫瑰香,和奶茶融合得很好。
贵州铜仁抹茶爆爆珠鲜奶茶⭐⭐⭐
抹茶珍珠奶茶的感觉,可能是珍珠会让味道分散一点。
芭乐生椰贵州铜仁抹茶⭐⭐⭐⭐⭐
好喝好喝,芭乐离了喜茶之后最好喝的一杯,芭乐和抹茶融合得非常之好,满口芭乐香,又有一股抹茶的清新感。
六枝洋槐蜂蜜",,,,,,,,,,,,,
xhs-review-4ca0e20efe1cccb4ebe5b58d,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,6a1c487500000000080029ad,贵阳万象城,刘好小公主,2026-05-31,https://www.xiaohongshu.com/explore/6a1c487500000000080029ad?xsec_token_redacted=1&xsec_source=pc_dots,待审核_跨区行程上下文,是,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"贵阳万象城
野果 yeego(万象城店)|云贵创意菜+高颜值甜品
位置:L1层东门手扶梯旁(不是B1)
时间:10:00–22:00
人均:100–120元,可用79代100券(每单限2张)
去茶山(万象城城市旗舰)
位置:L2层L218商铺(黔寻隔壁)
时间:10:00–22:00
人均:18–25元
特色:25年贵州本土茶饮,主打“四不加”(无炼乳/植脂末/厚乳/奶基底),用山花鲜奶+贵州原产茶/食材￼￼￼

干酪贵州铜仁抹茶鲜奶茶(旗舰TOP1)
梵净山抹茶,醇厚微苦回甘,咸香干酪奶盖,层次强
• 贵州刺梨",,,,,,,,,,,,,
xhs-review-1779cc303e6413af5b641a78,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,6a30f20c000000000f01eee3,"停下来,尝尝山里的温度",去茶山,2026-06-16,https://www.xiaohongshu.com/explore/6a30f20c000000000f01eee3?xsec_token_redacted=1&xsec_source=pc_dots,待审核_跨区行程上下文,是,否,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"停下来,尝尝山里的温度
去茶山,不用去茶山。

去茶山手工冰淇淋

风味选择
贵州铜仁抹茶
成都三大炮
芒果的甜

这一刻,无论你在哪里
只要这一勺入口
高原的凉意就瞬间化开了

新风味即将上新

可选门店可

西南地区
贵阳万象城S△per去茶山
贵阳花果园临湖广场店

华南地区:
深圳湾万象城
深圳万象天地
广州聚龙湾太古里江畔店
珠海万象汇
",,,,,,,,,,,,,
xhs-review-19beac71f71f44f8ed0ddd26,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,6a44b602000000000f029439,贵州|去茶山可冲,主要是没有🐱,2026-07-01,https://www.xiaohongshu.com/explore/6a44b602000000000f029439?xsec_token_redacted=1&xsec_source=pc_dots,待审核_跨区行程上下文,否,否,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"贵州|去茶山可冲
到达贵阳的第一天,立马冲去买“去茶山”了,馋这一口好久了[暗中观察R]

1 铜仁抹茶爆爆珠鲜奶茶,不愧是招牌,是我目前唯一一款不配小料,单喝奶茶,都不会觉得味道单调的奶茶。
甜度和冰度都是选择默认的,抹茶味很浓郁很香,单喝茶水会觉得味道刚刚好,不会很甜,也不会觉得淡。不过这款里面有红豆爆爆珠,有点甜,如果你是配着喝",,,,,,,,,,,,,
xhs-review-476f8f755b548e614b2956cf,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,6a550405000000001503d706,我在贵阳踩到最大的雷,Mia _H,2026-07-13,https://www.xiaohongshu.com/explore/6a550405000000001503d706?xsec_token_redacted=1&xsec_source=pc_dots,待审核_分店上下文不足,否,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"我在贵阳踩到最大的雷
去的~~~~去茶山!点了6杯!!!没有一杯能好喝,喝得下去的!是我的广州味觉有问题吗???#一言难尽啊[话题]# #去茶山[话题]# #坑死了坑死了[话题]# #一喝一个不吱声[话题]# #贵阳旅游[话题]#",,,,,,,,,,,,,
xhs-review-28306fc0de82416b8b424a00,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,6a6e04eb0000000006005807,贵阳去茶山,全山大王,2026-08-01,https://www.xiaohongshu.com/explore/6a6e04eb0000000006005807?xsec_token_redacted=1&xsec_source=pc_dots,待审核_跨区行程上下文,否,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"贵阳去茶山
下飞机到酒店放了行李就冲去茶山了!
创始店打卡[害羞R]抹茶脑袋狂喜!
点了 1干酪贵州铜仁抹茶鲜奶茶和
2冰旋·芒果小丸子
七分甜给到一个夯[心心眼R]
堂食ing,周五到周日开到晚上11点45[大笑R]
#一杯喝懂贵阳[话题]# #贵阳文旅[话题]# #去茶山[话题]#",,,,,,,,,,,,,
xhs-review-aed3eb9f38f5087e74d5f309,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,6a6e0bec000000002800231f,11图带你看我在贵阳喝了什么,读书哪有不疯的,2026-08-01,https://www.xiaohongshu.com/explore/6a6e0bec000000002800231f?xsec_token_redacted=1&xsec_source=pc_dots,待审核_跨区行程上下文,是,是,否,是,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"11图带你看我在贵阳喝了什么
首先是去茶山的八款
快茶慢做抹茶牛奶
其实就是抹茶液加牛奶,只不过自己倒进去更有参与感?贵阳万象城店限定

冰旋·芒果小丸子
芒果生椰贵州铜仁抹茶
绝对不会出错的两杯抹茶芒果系列没什么好说的不可能不好喝,安全牌来的

干酪陕西洛川苹果茶
貌似是新品的抹茶苹果?去茶山的干酪系列也是没喝到过难喝的,我觉得不错,折耳根爆爆珠哪怕是我这种折耳根",,,,,,,,,,,,,
xhs-review-a059a7c525f3af60c5c032a4,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,6a7546c6000000002903099c,"来贵阳旅游,必打卡去茶山,今日正好立秋,秋天的第一杯奶茶就选去茶山,好喝#一",じ☆vの微笑o,2026-08-07,https://www.xiaohongshu.com/explore/6a7546c6000000002903099c?xsec_token_redacted=1&xsec_source=pc_dots,待审核_分店上下文不足,否,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"来贵阳旅游,必打卡去茶山,今日正好立秋,秋天的第一杯奶茶就选去茶山,好喝#一
来贵阳旅游,必打卡去茶山,今日正好立秋,秋天的第一杯奶茶就选去茶山,好喝#一杯喝懂贵阳[话题]# #贵阳文旅[话题]# #去茶山[话题]#",,,,,,,,,,,,,
xhs-review-83cfd4871d9c5449ca47a4d9,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,6a8696e4000000003300fa2f,"来贵阳旅行,打卡本地茶饮品牌去茶山,沉浸式感受属于贵阳的风味
点了夏日贵阳风",小太阳🔆,2026-08-20,https://www.xiaohongshu.com/explore/6a8696e4000000003300fa2f?xsec_token_redacted=1&xsec_source=pc_dots,待审核_分店上下文不足,否,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"来贵阳旅行,打卡本地茶饮品牌去茶山,沉浸式感受属于贵阳的风味
点了夏日贵阳风
来贵阳旅行,打卡本地茶饮品牌去茶山,沉浸式感受属于贵阳的风味
点了夏日贵阳风味榜单的饮品,一口下去满满贵州特色,茶香清爽,口感很有记忆点。在城市逛累了坐在这里歇脚,喝一杯茶,慢下来感受贵阳这座城市的烟火与温柔,旅行的幸福感直接拉满。
现场参与小红书活动还可以领取贵阳限定礼遇,",,,,,,,,,,,,,
xhs-review-1b33ab56d624fc9201b6d942,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,6a8826c8000000002802f55e,贵阳的去茶山和茶和面团真的值得吃吗,LHH,2026-08-21,https://www.xiaohongshu.com/explore/6a8826c8000000002802f55e?xsec_token_redacted=1&xsec_source=pc_dots,待语义审核,是,否,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"贵阳的去茶山和茶和面团真的值得吃吗
值得值得值得!!!好吃,图中这几样很推荐,去贵州真的建议试试,我吃的在万象城,两家挨着的
真的很不错!(仅个人观点)#去茶山[话题]##茶和面团[话题]##贵州[话题]##贵阳[话题]##贵阳万象城[话题]##美食[话题]##推荐[话题]#",,,,,,,,,,,,,
xhs-review-7394d57c681e3434a1bfb486,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,6a8f11110000000007006de7,淘宝闪购/饿了么又坑了我一次,invisight,2026-08-27,https://www.xiaohongshu.com/explore/6a8f11110000000007006de7?xsec_token_redacted=1&xsec_source=pc_dots,待语义审核,是,否,是,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"淘宝闪购/饿了么又坑了我一次
情况是在淘宝闪购点了贵阳万象城的去茶山
然后在商场死活找不到这家店[失望R]
根据淘宝跳转后的高德地图
去茶山应该在商场的中间地带[抠鼻R]
直到我在好几分钟后才拨打成功该店电话
才知道在市场外围。[鄙视R]

复盘了一下
1,大众点评提示去该店的路径是正确的,P3
2,美团外卖似乎不支持将地址跳转外部地图,P4[黑薯问号R]
3,直接在高德规划起点到终点",,,,,,,,,,,,,
xhs-review-a4b8ec31215c1f026ebba67c,1,GYTRAVEL-HV-20260916-0048,food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c,FoodAndBeverage,去茶山(贵阳万象城店),南明区,6aa1358b0000000028034770,"打卡去茶山,每杯都很惊喜
贵阳探店|去茶山两杯打卡成功
刺梨茉莉花太有贵州特",黄有颜,2026-09-09,https://www.xiaohongshu.com/explore/6aa1358b0000000028034770?xsec_token_redacted=1&xsec_source=pc_dots,待审核_分店上下文不足,否,是,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"打卡去茶山,每杯都很惊喜
贵阳探店|去茶山两杯打卡成功
刺梨茉莉花太有贵州特
打卡去茶山,每杯都很惊喜
贵阳探店|去茶山两杯打卡成功
刺梨茉莉花太有贵州特色啦刺梨的酸甜碰撞淡雅茉莉香,清爽不齁,一口喝到山野气息。
芒果酸奶果香满满,酸奶绵密顺滑,甜度刚刚好。
一清爽一浓郁,逛黔灵山走累来一杯,旅途幸福感直接拉满,来贵阳一定要试试",,,,,,,,,,,,,
