发现序号,酒店ID,酒店名称,列表价格,评分,点评数,星级/钻级,地址/区域,详情URL,列表原始URL,发现来源,首次发现轮次,首次发现时间
239,129921372,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 3, 'starType': 2, 'starIconUrl': 'https://pages.c-ctrip.com/wireless-app/imgs/T2Images/0623/ic_new_circle3@3x.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=129921372&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,21,2026-08-30 23:40:54
240,756595,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=756595&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,21,2026-08-30 23:40:54
241,114651682,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114651682&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,21,2026-08-30 23:40:54
242,23504927,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 3, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond3_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=23504927&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,22,2026-08-30 23:40:59
243,118985197,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 3, 'starType': 2, 'starIconUrl': 'https://pages.c-ctrip.com/wireless-app/imgs/T2Images/0623/ic_new_circle3@3x.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=118985197&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,22,2026-08-30 23:40:59
244,702261,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=702261&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,22,2026-08-30 23:40:59
245,124207515,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=124207515&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,22,2026-08-30 23:40:59
246,114844024,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 3, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond3_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114844024&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,22,2026-08-30 23:40:59
247,12617337,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=12617337&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,22,2026-08-30 23:40:59
248,995970,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=995970&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,22,2026-08-30 23:40:59
249,1698017,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1698017&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,23,2026-08-30 23:41:05
250,114940825,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114940825&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,23,2026-08-30 23:41:05
251,703112,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 3, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond3_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=703112&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,23,2026-08-30 23:41:05
252,6002571,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=6002571&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,23,2026-08-30 23:41:05
253,103861260,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=103861260&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,23,2026-08-30 23:41:05
254,702691,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=702691&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,23,2026-08-30 23:41:05
255,124190591,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=124190591&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,23,2026-08-30 23:41:05
256,702934,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 3, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond3_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=702934&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,23,2026-08-30 23:41:05
257,7614960,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 3, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond3_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=7614960&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,23,2026-08-30 23:41:05
258,124241131,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=124241131&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,24,2026-08-30 23:41:10
259,996677,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=996677&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,24,2026-08-30 23:41:10
260,101212523,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 2, 'starType': 2, 'starIconUrl': 'https://pages.c-ctrip.com/wireless-app/imgs/T2Images/0623/ic_new_circle2@3x.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101212523&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,24,2026-08-30 23:41:10
261,131958741,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 3, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond3_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=131958741&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,24,2026-08-30 23:41:10
262,700747,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=700747&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,24,2026-08-30 23:41:10
263,114721466,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 3, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond3_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=114721466&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,24,2026-08-30 23:41:10
264,123411505,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 3, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond3_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=123411505&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,24,2026-08-30 23:41:10
265,85168590,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=85168590&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,24,2026-08-30 23:41:10
266,1522040,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 2, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond2_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1522040&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,24,2026-08-30 23:41:10
267,996678,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=996678&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,25,2026-08-30 23:41:16
268,996751,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=996751&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,25,2026-08-30 23:41:16
269,56744067,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 2, 'starType': 2, 'starIconUrl': 'https://pages.c-ctrip.com/wireless-app/imgs/T2Images/0623/ic_new_circle2@3x.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=56744067&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,25,2026-08-30 23:41:16
270,133843163,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 3, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond3_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=133843163&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,25,2026-08-30 23:41:16
271,124793956,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=124793956&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,25,2026-08-30 23:41:16
272,106225990,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=106225990&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,25,2026-08-30 23:41:16
273,44164140,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=44164140&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,25,2026-08-30 23:41:16
274,702725,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 3, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond3_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=702725&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,25,2026-08-30 23:41:16
275,127164409,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 3, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond3_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=127164409&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,26,2026-08-30 23:41:22
276,25926172,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 2, 'starType': 2, 'starIconUrl': 'https://pages.c-ctrip.com/wireless-app/imgs/T2Images/0623/ic_new_circle2@3x.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=25926172&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,26,2026-08-30 23:41:22
277,19829156,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 3, 'starType': 2, 'starIconUrl': 'https://pages.c-ctrip.com/wireless-app/imgs/T2Images/0623/ic_new_circle3@3x.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=19829156&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,26,2026-08-30 23:41:22
278,2841466,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 2, 'starType': 2, 'starIconUrl': 'https://pages.c-ctrip.com/wireless-app/imgs/T2Images/0623/ic_new_circle2@3x.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=2841466&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,26,2026-08-30 23:41:22
279,110705493,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=110705493&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,26,2026-08-30 23:41:22
280,702745,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=702745&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,26,2026-08-30 23:41:22
281,96208858,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 3, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond3_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=96208858&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,26,2026-08-30 23:41:22
282,131995751,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=131995751&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,26,2026-08-30 23:41:22
283,4298297,曼谷尊贵比左特尔酒店,261,4.4,1225,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",水门市场 · 近四面佛查看地图,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=4298297&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,,DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,26,2026-08-30 23:41:22
