Google地点ID,业务类别,地点名称,泰文名称,Google主要类型,主要类别,评分,评价数量,价格等级,完整地址,纬度,经度,县区中文名,乡分区中文名,每周营业时间,电话,官方网站,设施与服务标签,编辑简介,Google地图链接
ChIJVVVVhWuZ4jARXwPp36Z42go,美食餐饮,Cafe ' du Soleil,,coffee_shop,咖啡店,,,,"1 อาคาร ส.ป.ก Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.758304,100.50656,邦巴沙都拍县,Wat Sommanat,,,,,,https://maps.google.com/?cid=782070143418696543&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJZ1l_btyZ4jARTGozJ6sk35U,美食餐饮,Cafe Amazon - พาหุรัด,,coffee_shop,咖啡店,,,,"205, 207 Phahurat Rd, Wangburapapirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.744879,100.501091,拍那空县,三王府区,,,,,,https://maps.google.com/?cid=10799390748973427276&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJSYDaSACZ4jARx2Iwfwg3u8E,美食餐饮,Cafe Amazon สาขากองทัพน้อยที่ 1 (SC5263),,coffee_shop,咖啡店,,,,"QG87+Q25, Dusit, Dusit District, Bangkok 10300",13.766881,100.512597,都实县,Suan Chit Lada,,,,,,https://maps.google.com/?cid=13959811979598127815&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJg0uXOwCZ4jARCud7qbJYZ_c,美食餐饮,Cafe Amazon สาขาวัดมังกร SD5396,,coffee_shop,咖啡店,,,,"456 458 ถ. เจริญกรุง Khwaeng Samphanthawong, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.742891,100.508964,三攀他旺县,差甲瓦區,,,,,,https://maps.google.com/?cid=17827315174340290314&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJt-YxTgCZ4jARImCHFcVo70g,美食餐饮,Cafe Amazon สาขาแยกนางเลิ้ง,,coffee_shop,咖啡店,,,,"590 Nakhon Sawan Rd, Khwaeng Si Yaek Maha Nak, Khet Dusit, Krung Thep Maha Nakhon 10300",13.761246,100.515126,都实县,Si Yaek Maha Nak,,,,,,https://maps.google.com/?cid=5255534485843697698&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ1-6nvR6Z4jARpYA78SrxH2s,美食餐饮,Cafe Pops,,coffee_shop,咖啡店,,,,"แขวง จักรวรรดิ์,เขต สัมพันธวงศ์ กรุงเทพมหานคร PGR2+4X6 จักรวรรดิ์ Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.740291,100.502397,三攀他旺县,差甲瓦區,,,,,,https://maps.google.com/?cid=7719153453074448549&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJbdXkTQCZ4jARks9xowCxDDo,美食餐饮,Cafe de Pomme et tous,,coffee_shop,咖啡店,,,,"55 Thanon Ratchadamnoen Nok, Khwaeng Dusit, Khet Dusit, Krung Thep Maha Nakhon 10300",13.766841,100.511999,都实县,Dusit,,,,,,https://maps.google.com/?cid=4182912770220609426&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJNYdF85aZ4jARA_XHdDgP_y0,美食餐饮,CafeEill,,coffee_shop,咖啡店,,,,"1048 Soi Arun Ammarin 34, Khwaeng Bang Yi Khan, Khet Bang Phlat, Krung Thep Maha Nakhon 10700",13.771248,100.490256,挽拍县,Bang Yi Khan,,,,,,https://maps.google.com/?cid=3314384585919821059&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ4S2N7XaZ4jARhb4-xLmcr8U,美食餐饮,Caffé D'Oro,,coffee_shop,咖啡店,,,,"93/2 Thanon Somdet Phra Pin Klao, Khwaeng Arun Amarin, Khet Bangkok Noi, Krung Thep Maha Nakhon 10700",13.763877,100.490357,挽拍县,Bang Yi Khan,,,,,,https://maps.google.com/?cid=14244776468071497349&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJpfPfPwCZ4jARyqBYg2XOUM0,美食餐饮,Cafè Amezon การไฟฟ้านครหลวง เขตวัดเลียบ,,coffee_shop,咖啡店,,,,"121 Chakkraphet Rd, Wangburapapirom Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.741428,100.499587,拍那空县,三王府区,,,,,,https://maps.google.com/?cid=14794551711302721738&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJeblm0ROZ4jARVqWIbL4Cpe8,美食餐饮,Café Amazon,,coffee_shop,咖啡店,,,,"22, 24 Thanon Mahannop, Khwaeng Sao Chingcha, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.753671,100.498785,拍那空县,大秋千区,,,,,,https://maps.google.com/?cid=17268211363109971286&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJfQqlSluZ4jARQvihW2vekOU,美食餐饮,Café Amazon,,coffee_shop,咖啡店,,,,"เลขที่ 319&nbsp; ถนนราชดำเนินนอก&nbsp; เขตดุสิต&nbsp; แขวงดุสิต, สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน กระทรวงศึกษาธิการ (อาคาร สพฐ.2 ชั้น 1), แขวงดุสิต เขตดุสิต กรุงเทพมหานคร 10300",13.766776,100.509,拍那空县,邦坤蓬区,,,,,,https://maps.google.com/?cid=16541965984012040258&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJK_t6K2aZ4jARQYVJJqsBp3I,美食餐饮,Café Amazon (Branch 3186),,coffee_shop,咖啡店,,,,"QG48+5J3, Khlong Maha Nak, Pom Prap Sattru Phai, Bangkok 10100",13.755385,100.516546,邦巴沙都拍县,Khlong Maha Nak,,,,,,https://maps.google.com/?cid=8261573876027852097&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJSTfJbRqZ4jARCwEvxiUJAu4,美食餐饮,Café Amazon - ดิ โอลด์ สยาม พลาซ่า,,coffee_shop,咖啡店,,,,"12 ห้องเลขที่ W1-11, ดิโอลด์สยามพลาซ่า Thanon Burapha, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.745801,100.499676,拍那空县,三王府区,,,,,,https://maps.google.com/?cid=17150280388823679243&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ9dHBGN6Z4jARgNfPX3VcpWw,美食餐饮,Café Amazon Ministry of Defence,,coffee_shop,咖啡店,,,,"2 Lak Muang Rd, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.752339,100.494163,拍那空县,大皇宫区,,,,,,https://maps.google.com/?cid=7828765186441860992&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJjdyxJACZ4jARecm6OeFRuq8,美食餐饮,Café Amazon Wat Pho,,coffee_shop,咖啡店,,,,"25 Thanon Thai Wang, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.746812,100.492147,拍那空县,大皇宫区,,,,,,https://maps.google.com/?cid=12662523330083604857&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJU2_HnbyZ4jARuwfrmF3Oxts,美食餐饮,Café Amazon คลองถมเซ็นเตอร์,,coffee_shop,咖啡店,,,,"205/1 Yommarat Sukhum Rd, Khwaeng Pom Prap, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.746281,100.506479,邦巴沙都拍县,班巴区,,,,,,https://maps.google.com/?cid=15836572041087748027&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJgSczdACZ4jARUAGRA4NPQU0,美食餐饮,Café Amazon สาขา ทำเนียบรัฐบาล,,coffee_shop,咖啡店,,,,"59 Phitsanulok Rd, Khwaeng Dusit, Khet Dusit, Krung Thep Maha Nakhon 10300",13.764535,100.511452,都实县,Dusit,,,,,,https://maps.google.com/?cid=5566818038525788496&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJuaTFez-Z4jARvmitEcoCzFY,美食餐饮,Café Amazon- สำเพ็ง สแควร์,,coffee_shop,咖啡店,,,,"115 อาคาร สำเพ็งสแควร์ 115 Ratchawong Rd, Khwaeng Chakkrawat, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.741905,100.506754,三攀他旺县,差甲瓦區,,,,,,https://maps.google.com/?cid=6254377049414002878&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJraGxMS6Z4jARkTQzg76M6nA,美食餐饮,Café Tree Bangkok,,coffee_shop,咖啡店,,,,"219/5 Chakkraphet Rd, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.742175,100.495428,拍那空县,三王府区,,,,,,https://maps.google.com/?cid=8136470426671068305&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJGer5zsOZ4jARRTH-CuobfgI,美食餐饮,Carousel Coffee No.9 Phra Sumen Fort,,coffee_shop,咖啡店,,,,"เลขที่ 9 Thanon Phra Sumen, Khwaeng Chana Songkhram, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.763281,100.496952,拍那空县,查那松康区,,,,,,https://maps.google.com/?cid=179611727162126661&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ1eybNwCZ4jARcleEjjqmLHc,美食餐饮,Castown Shop & Cafe,,coffee_shop,咖啡店,,,,"75 Yaowarat Rd, Khwaeng Chakkrawat, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.743063,100.50514,三攀他旺县,差甲瓦區,,,,,,https://maps.google.com/?cid=8587421359918045042&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJN20xdpyZ4jARE4AmTYQlLp4,美食餐饮,Chakaimuk.com ชาไข่มุก สาขา วรจักร-คลองถม,,coffee_shop,咖啡店,,,,"Vorajuk St, Khwaeng Ban Bat, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.746364,100.506017,邦巴沙都拍县,班巴区,,,,,,https://maps.google.com/?cid=11398088957081583635&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJMXwt3vKZ4jARcXyudNAQXEw,美食餐饮,Chalor home specialty (Coffee &Matcha),,coffee_shop,咖啡店,,,,"154-154/1 ซฮย ซ แม้นศรี 1 Khwaeng Khlong Maha Nak, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.752168,100.510243,邦巴沙都拍县,Khlong Maha Nak,,,,,,https://maps.google.com/?cid=5502291332236737649&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJLdrFR_WZ4jARiavhie7jlD8,美食餐饮,Chao Doi Coffee Samranrat,,coffee_shop,咖啡店,,,,"515 Maha Chai Rd, Khwaeng Samran Rat, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.750215,100.504067,拍那空县,巴杜披,,,,,,https://maps.google.com/?cid=4581537334597626761&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJw63QNwCZ4jAR9mtJs-QZAtY,美食餐饮,Chef Ming Cafe,,coffee_shop,咖啡店,,,,"曼谷都会区 Phra Nakhon, 曼谷 Banglamphu PFXX+HMQ邮政编码: 10200",13.748956,100.499234,拍那空县,拉差博披寺区,,,,,,https://maps.google.com/?cid=15420916544121170934&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJeW-0mxGZ4jARFPExfBeUdXE,美食餐饮,Chi Kat Cha Cafe,,coffee_shop,咖啡店,,,,"550 Thanon Tanao, Khwaeng San Chao Pho Sua, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.752261,100.498165,拍那空县,虎神庙区,,,,,,https://maps.google.com/?cid=8175603527149809940&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJs56EoteZ4jARDfaMb5wDtbI,美食餐饮,ChingCha Cafe ชิงช้าคาเฟ่,,coffee_shop,咖啡店,,,,"88/4-89 Thanon Siri Phong, Khwaeng Samran Rat, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.752476,100.502191,拍那空县,大秋千区,,,,,,https://maps.google.com/?cid=12877202679957091853&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJH2ei8QOZ4jARtE_vb09WHMA,美食餐饮,Chongtakee,,coffee_shop,咖啡店,,,,"168 28 Soi Si Ayutthaya 19, Khwaeng Wachira Phayaban, Khet Dusit, Krung Thep Maha Nakhon 10300",13.772007,100.503008,拍那空县,讪披耶寺区,,,,,,https://maps.google.com/?cid=13843034253810421684&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ-6YC6xWZ4jARPNY6zK418OY,美食餐饮,ChunMong Cafe ชุนหมงคาเฟ่ (formerly Coffee Concerto),,coffee_shop,咖啡店,,,,"26, 28 Boriphat Rd, Khwaeng Ban Bat, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.754149,100.505878,邦巴沙都拍县,班巴区,,,,,,https://maps.google.com/?cid=16640859648000972348&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJO2hO1iG94jARRBJ1CpqV64Q,美食餐饮,CiML snacks & drinks,,coffee_shop,咖啡店,,,,"ตรงป้ายรถเมย์ ฝั่งตรงข้าม รร. สวนกุหลาบ เลขที่ 151 Tri Phet Rd, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.743409,100.499112,拍那空县,三王府区,,,,,,https://maps.google.com/?cid=9577913521366438468&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJCyWH7E-Z4jARxf_6QJ-Ojq4,美食餐饮,Clothing_Old,,coffee_shop,咖啡店,,,,"57 Soi Banphanthom, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.763379,100.500656,拍那空县,班潘通,,,,,,https://maps.google.com/?cid=12578147623933509573&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ0VnuaBeZ4jARYxkgVt-fU-o,美食餐饮,Cloud Phranakhon,,coffee_shop,咖啡店,,,,"Soi Na Phra That, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.75562,100.492053,拍那空县,大皇宫区,,,,,,https://maps.google.com/?cid=16885015209513589091&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJeSl5cG-Z4jAR1hHFZOuMyFU,美食餐饮,Cocoa mongkorn โกโก้มังกร เยาวราช,,coffee_shop,咖啡店,,,,"279 Yaowarat Rd, Khwaeng Samphanthawong, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.74141,100.50825,三攀他旺县,差甲瓦區,,,,,,https://maps.google.com/?cid=6181345431201845718&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ7f6mRwCZ4jARBLigLYQJs1M,美食餐饮,Coff Culture Cafe`,,coffee_shop,咖啡店,,,,"370 372 Chakrabongse Rd, Khwaeng Talat Yot, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.762453,100.498589,拍那空县,哒叻裕区,,,,,,https://maps.google.com/?cid=6031174789285066756&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJLWpo0pCZ4jARY-5v1hUBJX0,美食餐饮,Coffee @ Soi Samsen,,coffee_shop,咖啡店,,,,"110 Thanon Samsen, Khwaeng Wat Sam Phraya, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.764705,100.497171,拍那空县,查那松康区,,,,,,https://maps.google.com/?cid=9017615022182887011&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJawQzeW2Z4jARsTBhnqgl7m4,美食餐饮,Coffee Blossom,,coffee_shop,咖啡店,,,,"อาคาร Rambuttri Village Ram Buttri, Khwaeng Chana Songkhram, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.76129,100.496163,拍那空县,哒叻裕区,,,,,,https://maps.google.com/?cid=7993367794771112113&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJD9FyskCZ4jARYh-tBn6pQXU,美食餐饮,Coffee Champ,,coffee_shop,咖啡店,,,,"ล็อค 28 ตลาดนางเลิ้ง 10100 Nakhon Sawan Rd, Khwaeng Wat Sommanat, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.756658,100.506851,邦巴沙都拍县,Wat Sommanat,,,,,,https://maps.google.com/?cid=8449220734666743650&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJe9ZOcNiZ4jARSoF6v3ni34Y,美食餐饮,Coffee Context,,coffee_shop,咖啡店,,,,"47/1 Thanon Phra Athit, Khwaeng Chana Songkhram, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.763142,100.494755,拍那空县,查那松康区,,,,,,https://maps.google.com/?cid=9718735533420216650&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJEY38roeZ4jARuo9sT28HkYY,美食餐饮,Coffee Context @ Phanfa Pier,,coffee_shop,咖啡店,,,,"46 Thanon Damrong Rak, Khwaeng Ban Bat, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.755377,100.507293,邦巴沙都拍县,班巴区,,,,,,https://maps.google.com/?cid=9696539647360667578&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ7-bdrm2Z4jARpzcc1fABYyg,美食餐饮,Coffee First,,coffee_shop,咖啡店,,,,"156 Thanon Phra Sumen, Khwaeng Talat Yot, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.762269,100.497922,拍那空县,哒叻裕区,,,,,,https://maps.google.com/?cid=2910171918090647463&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ31uDmRqZ4jARmlf_U0pbIio,美食餐饮,Coffee Kim,,coffee_shop,咖啡店,,,,"เลขที่ 34/5 Soi Phirom, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.746824,100.497785,拍那空县,三王府区,,,,,,https://maps.google.com/?cid=3036089473596086170&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJtTY6quOZ4jARuOVP7zqiNYo,美食餐饮,Coffee King,,coffee_shop,咖啡店,,,,"72/2 Soi Samsen 4, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.76386,100.499534,拍那空县,班潘通,,,,,,https://maps.google.com/?cid=9959044525006513592&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJUxGrZ8KZ4jAR6ekh6B54tnM,美食餐饮,Coffee Lives by Montra,,coffee_shop,咖啡店,,,,"140 Nakhon Sawan Rd, วัดโสมนัส Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.757595,100.508612,邦巴沙都拍县,Wat Sommanat,,,,,,https://maps.google.com/?cid=8337983834261940713&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJFUjaojyZ4jARF9sLLIlbxaA,美食餐饮,Coffee Madness by Kafo,,coffee_shop,咖啡店,,,,"163 Chakrabongse Rd, Khwaeng Chana Songkhram, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.761623,100.497473,拍那空县,哒叻裕区,,,,,,https://maps.google.com/?cid=11584766261188090647&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJZ0q-oxSZ4jARY6EICiQYAEI,美食餐饮,Coffee Melody,,coffee_shop,咖啡店,,,,"24, ถนนดินสอ, แขวงบวรนิเวศ เขตพระนคร กรุงเทพมหานคร, 10200 Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10300",13.757833,100.501987,拍那空县,波稳尼威区,,,,,,https://maps.google.com/?cid=4755827749569470819&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJxa1V-SGZ4jAR6XW2bnAF9pU,美食餐饮,Coffee Mill China Town,,coffee_shop,咖啡店,,,,"784 Soi Phalit Phon, Khwaeng Samphanthawong, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.741039,100.507421,三攀他旺县,差甲瓦區,,,,,,https://maps.google.com/?cid=10805830336374011369&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJt55fVQCZ4jARRvgnBlgpkt8,美食餐饮,Coffee Shop,,coffee_shop,咖啡店,,,,"36 Boriphat Rd, Khwaeng Ban Bat, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.753939,100.505775,邦巴沙都拍县,班巴区,,,,,,https://maps.google.com/?cid=16109984275094829126&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJkTAI56qZ4jARz2adidJt0SA,美食餐饮,Coffee Shop ติ่มซำ,,coffee_shop,咖啡店,,,,"12 Thanon Siri Phong, Khwaeng Samran Rat, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.753518,100.502304,拍那空县,大秋千区,,,,,,https://maps.google.com/?cid=2364792030365574863&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJyYSPd1GZ4jARzojjsqMvn68,美食餐饮,Coffee and fried bananas,,coffee_shop,咖啡店,,,,"PGV3+48P, Chakkrawat, Samphanthawong, Bangkok 10100",13.742848,100.503323,三攀他旺县,差甲瓦區,,,,,,https://maps.google.com/?cid=12654885858061813966&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJs4uBMRWZ4jARb5I8BUCEmHY,美食餐饮,Coffee house,,coffee_shop,咖啡店,,,,"ซอย Trok Sathien, Khwaeng San Chao Pho Sua, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.755676,100.497751,拍那空县,虎神庙区,,,,,,https://maps.google.com/?cid=8545725703436145263&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJBVI1fuyZ4jARVzjVd-Lqy-Q,美食餐饮,Coffee on the corner,,coffee_shop,咖啡店,,,,"QF4X+5F6, Trok Sathien, Khwaeng San Chao Pho Sua, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.755418,100.49864,拍那空县,大秋千区,,,,,,https://maps.google.com/?cid=16486529119313803351&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJbakBEACZ4jARhK8GRJStl-k,美食餐饮,Coffee shop,,coffee_shop,咖啡店,,,,"QG38+QJ5, Krung Kasem Rd, Khwaeng Khlong Maha Nak, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.754398,100.516602,邦巴沙都拍县,Khlong Maha Nak,,,,,,https://maps.google.com/?cid=16832112984628572036&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJbeRJfRCZ4jARbSkpIbV1orQ,美食餐饮,Coffee165,,coffee_shop,咖啡店,,,,"165 Thanon Fueang Nakhon, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.748145,100.49856,拍那空县,拉差博披寺区,,,,,,https://maps.google.com/?cid=13016095293860030829&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJpWmoLgCZ4jARotaB58bcIFw,美食餐饮,Common Space Cafe,,coffee_shop,咖啡店,,,,"34 Charoen Krung 1 Alley, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.747868,100.499017,拍那空县,三王府区,,,,,,https://maps.google.com/?cid=6638548597589792418&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJlyg0VgCZ4jAR6iuTXva8S9k,美食餐饮,Cool Joice,,coffee_shop,咖啡店,,,,"155 Trok Sake, Khwaeng Talat Yot, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.761213,100.499138,拍那空县,哒叻裕区,,,,,,https://maps.google.com/?cid=15657816295818341354&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
