Google地点ID,业务类别,地点名称,泰文名称,Google主要类型,主要类别,评分,评价数量,完整地址,纬度,经度,县区中文名,乡分区中文名,每周营业时间,电话,官方网站,设施与服务标签,编辑简介,Google地图链接
ChIJC41hBv6Z4jARQkidj6Zz3nw,酒店住宿,Livinn91,ลิฟวินน์91,hotel,宾馆,4.9,71,"91 Phahurat Rd, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.745521,100.498988,拍那空县,三王府区,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,+66 95 565 0289,https://www.facebook.com/livinn91,,,https://maps.google.com/?cid=8997756264744044610&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJBT11j4-Z4jARg1u8eWKKhrM,酒店住宿,PA PRANK ป้าแพร่ง,PA PRANK ป้าแพร่ง,hotel,宾馆,4.8,70,"110 112 ซอย แพร่งสรรพศาสตร์, Khwaeng San Chao Pho Sua, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.753169,100.49735,拍那空县,虎神庙区,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,,http://www.paprank.com/,,"Trendy hostel offering airy quarters & a stylish cafe, plus Wi-Fi & breakfast.",https://maps.google.com/?cid=12936179135222143875&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJWxt_QQGZ4jARJzwHEG9briU,酒店住宿,奥博阿伦之家住宿加早餐旅馆,ออเบอราเลน เฮาส์ เบด แอนด์ เบรคฟาสต์,bed_and_breakfast,住宿加早餐型宾馆,4.7,70,"265 Thanon Wang Doem, Khwaeng Wat Arun, Khet Bangkok Yai, Krung Thep Maha Nakhon 10600",13.744842,100.486681,曼谷艾县,Wat Arun,,+66 61 260 4301,https://www.hotelsbkk.com/ob-arun-house/,适合儿童,"Simple B&B offering plain rooms with en suite bathrooms & minifridges, plus a garden & a terrace.",https://maps.google.com/?cid=2715208157919394855&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJVcjy-RKZ4jARTxvG8Bz6lSo,酒店住宿,哈努旅舍,นายเอกโชว์ห่วย ยุค 90,hostel,青年旅舍,4.1,68,"208 Parinayok Soi 8, Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.756305,100.498141,拍那空县,波稳尼威区,,+66 99 868 7554,,,"Warm dorms & rooms in an industrial-style hostel with a rooftop bar, plus free breakfast & Wi-Fi.",https://maps.google.com/?cid=3068633723328404303&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJCavI0mWZ4jAReln9E8sQOXs,酒店住宿,JC Home 刘先生,เจซี โฮม คุณหลิว,private_guest_room,私人客房,4.1,66,"97 Soi Samsen 4, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.763046,100.501326,拍那空县,班潘通,,+66 64 548 0728,https://www.hotelsbkk.com/jc-home-%E5%88%98-%E5%85%88-%E7%94%9F/,,,https://maps.google.com/?cid=8879146604737419642&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJKapRAM2Z4jARJ-MaDd3rVdk,酒店住宿,Lo-ha guest house | Contactless Check-in,โลฮ่า เกสต์เฮาส์ | การเช็คอินแบบไร้การสัมผัส,guest_house,招待所,4.7,66,"136 Thanon Siri Phong, Samranraj, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.754184,100.503018,拍那空县,巴杜披,,+66 89 185 0987,https://www.facebook.com/Lohaguesthouse,,,https://maps.google.com/?cid=15660682613890933543&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJVSENNhKZ4jARjvVqm9mj6mM,酒店住宿,布恩街旅舍,บูน สตรีท ลอดจ์,hostel,青年旅舍,4.2,66,"138-140 Bunsiri Road, Kwang San Chao Pho Sua, Phra Nakhon Khwaeng San Chao Pho Sua, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.754469,100.498369,拍那空县,虎神庙区,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,+66 81 482 7308,,,,https://maps.google.com/?cid=7199747109315868046&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJY00GPwCZ4jAR7Cbon4HDVNU,酒店住宿,เบด สเปซ โฮสเทล,เบด สเปซ โฮสเทล,hostel,青年旅舍,2.9,63,"83/7 Prachathipatai Rd, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.762423,100.503918,拍那空县,班潘通,,+66 64 497 8880,https://www.hotelsbkk.com/bed-space-hostel-khaosan/,,,https://maps.google.com/?cid=15372126389623334636&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ2T0w8T-Z4jARsJ2Dif1nIKg,酒店住宿,Alameda Suites Hotel,โรงแรมอลาเมดา สวีท,hotel,宾馆,4.6,62,"27, 5 Ka Om Rd, Khwaeng Wat Sommanat, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.758191,100.508136,邦巴沙都拍县,Wat Sommanat,星期一: 09:00–16:00 | 星期二: 09:00–16:00 | 星期三: 09:00–16:00 | 星期四: 09:00–16:00 | 星期五: 09:00–16:00 | 星期六: 09:00–15:00 | 星期日: 休息,+66 99 148 9211,https://www.hotelsbkk.com/alameda-suites-hotel/,适合儿童,,https://maps.google.com/?cid=12114797336258125232&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJr2frjKOZ4jARfIY2QT2IQQ0,酒店住宿,Room Residence,รูมเรสสิเดนท์,inn,客栈,4.2,62,"QF3H+V24, Soi Itsaraphap 45, Khwaeng Ban Chang Lo, Khet Bangkok Noi, Krung Thep Maha Nakhon 10700",13.754641,100.477582,曼谷蓮縣,Ban Chang Lo,,+66 63 954 4441,https://www.facebook.com/roomz45/?ref=bookmarks,适合儿童,,https://maps.google.com/?cid=955194392647730812&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ1UospWKZ4jARWe0fSpUgbtI,酒店住宿,Four Sisters Homestay,โฟร์ ซิสเตอร์ โฮมสเตย์,private_guest_room,民宿,4.4,61,"78 Thanon Yotha 1, Khwaeng Talat Noi, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.732037,100.513857,挽叻县,噠叻仔區,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,+66 92 952 8878,https://linktr.ee/loftelgroup,,,https://maps.google.com/?cid=15163092820968861017&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJE2Gb5z-Z4jARVWY94OqAhgI,酒店住宿,PK Garden Home,พีเค การ์เด้นโฮม,hotel,宾馆,3.7,61,"100 Nakhon Sawan Rd, Khwaeng Wat Sommanat, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.757111,100.507666,邦巴沙都拍县,Wat Sommanat,,,,适合儿童,,https://maps.google.com/?cid=181974581227906645&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJB_AIOUeZ4jARrJ0E8aK06U4,酒店住宿,Baanpin Hotel,บ้านพินท์ โฮเทล,hotel,宾馆,2.5,60,"118 120 Dinso Rd, Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.755391,100.501421,拍那空县,波稳尼威区,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,+66 2 009 3981,,,,https://maps.google.com/?cid=5686274616453275052&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJMaJyYgCZ4jARGvzkhm41zhc,酒店住宿,Cherie Bangkok Boutique Hotel,เชอรี่ แบงค็อก บูติค โฮเต็ล,hotel,宾馆,4.7,60,"251 Thanon Bamrung Mueang, Khwaeng Samran Rat, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.752195,100.504197,拍那空县,巴杜披,,+66 92 272 5954,https://www.cheriebangkok.com/,,,https://maps.google.com/?cid=1715367256900566042&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJw68sGw2Z4jARPkIuGw68iKo,酒店住宿,PAPERMOON (GUEST HOUSE),เปเปอร์มูน (เกสท์เฮาส์),guest_house,宾馆/民宿,4.5,60,"358 Soi Samsen 4, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.762917,100.501082,拍那空县,班潘通,,+66 99 496 6944,https://www.facebook.com/Papermoon-Guest-House-599521763823515/,,,https://maps.google.com/?cid=12288278352051978814&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJzwd-dBGb4jAR2LRdYLTaofM,酒店住宿,64 Sweet Home,64 สวีทโฮม,guest_house,招待所,4.9,59,"64 Thanon Nakhon Chaisi Rd, Khwaeng Thanon Nakhon Chai Si, Khet Dusit, Krung Thep Maha Nakhon 10300",13.780877,100.521449,都实县,Thanon Nakhon Chai Si,,+66 98 664 1678,http://64sweethomedusitbkk.zoombookdirect.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=google_my_business,,,https://maps.google.com/?cid=17555553290712626392&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJSZDAymuZ4jAR313sNBfj0lc,酒店住宿,โรงแรม เค.ที.,โรงแรม เค.ที.,motel,汽车旅馆,3.6,59,"115/6 ถ. วิสุทธิกษัตริย์ Khwaeng Bang Khun Phrom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.763026,100.504229,拍那空县,邦坤蓬区,,+66 89 149 5193,,,,https://maps.google.com/?cid=6328370115220626911&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ_YprdCmZ4jARBLKMhCacKu4,酒店住宿,Postel Chinatown,โพสเทล ไชน่าทาวน์,hostel,青年旅舍,4.9,58,"45 Ratchawong Rd, Khwaeng Samphanthawong, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.743067,100.507601,三攀他旺县,Samphanthawong,,+66 98 015 1591,https://ibe.hoteliers.guru/ibe/en/Postel-Chinatown-Sampantawong-Bangkok-TH,,,https://maps.google.com/?cid=17161701019295199748&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJhyb-ABOZ4jARu_C8uBHvRi8,酒店住宿,萨图旅舍,สาธุ โฮสเทล,hotel,宾馆,4.2,58,"66Thanon Burana Sat Bangkok, Thai ศาลเจ้าพ่อเสือ Khwaeng San Chao Pho Sua, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.753374,100.497097,拍那空县,虎神庙区,星期一: 08:00–22:00 | 星期二: 08:00–22:00 | 星期三: 08:00–22:00 | 星期四: 08:00–22:00 | 星期五: 08:00–22:00 | 星期六: 08:00–22:00 | 星期日: 08:00–22:00,+66 96 271 9910,,,,https://maps.google.com/?cid=3406673027545231547&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJy0vEG6if4jARSC-2YDIlVcA,酒店住宿,BnB98 Silom Hotel,โรงแรมบีเอ็นบี98 สีลม,bed_and_breakfast,住宿加早餐型宾馆,4.4,56,"60 Soi Si Lom 2/1, Suriyawong, Khet Bang Rak, Krung Thep Maha Nakhon 10500",13.729017,100.534723,挽叻县,Suriyawong,,+66 98 641 5144,https://www.hotelsbkk.com/bnb98-silom-hotel/,,,https://maps.google.com/?cid=13859024326603714376&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ_5_EM22Z4jARweCDKVb2zK4,酒店住宿,查洛恩迪精品旅舍,เจริญดี บูทีค โฮสเทล,hostel,青年旅舍,3.5,56,"189 Thanon Khao San, Khwaeng Talat Yot, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.758887,100.497535,拍那空县,哒叻裕区,,+66 81 821 1915,,,"Unfussy budget hotel offering bright rooms, a casual restaurant & a lounge, plus a laid-back bar.",https://maps.google.com/?cid=12595713107772563649&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJj_M91GWZ4jARcqf3kTm6qvw,酒店住宿,Lhong Yaowarat Hostel,หลงเยาวราช,hostel,青年旅舍,4.9,55,"PGR6+8GG, Alley Sai, Khwaeng Samphanthawong, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.740812,100.511328,三攀他旺县,Samphanthawong,,+66 81 312 4848,https://lhong-yaowarat-hostel.site/,,,https://maps.google.com/?cid=18206569200023480178&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJuTz6YRWZ4jARgnMwAT9g-7s,酒店住宿,Ratana Hostel,รัตนา โฮสเทล,hostel,青年旅舍,4.4,55,"46, 48 Nakhon Sawan Rd, Khwaeng Wat Sommanat, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.756844,100.50714,拍那空县,Wat Sommanat,星期一: 08:00–18:00 | 星期二: 09:30–16:30 | 星期三: 09:30–16:30 | 星期四: 09:30–16:30 | 星期五: 09:30–16:30 | 星期六: 09:30–16:30 | 星期日: 休息,+66 96 936 5964,https://ratanaboutiquehostel-bke.zoombookdirect.com/web/en/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=google_my_business,,"Hip, simple dorms in a modern hostel with a restaurant, a patio & a TV lounge, plus free Wi-Fi.",https://maps.google.com/?cid=13545526127966057346&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ5xqZ9riZ4jARfSW_S4qkiFs,酒店住宿,The Burapa Rooms,ห้องบูรพา,hotel,宾馆,4.8,55,"821 Maha Chai Rd, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.746307,100.50366,三攀他旺县,三王府区,,+66 83 015 8220,https://www.facebook.com/profile.php?id=100088685574584,,,https://maps.google.com/?cid=6595702568167351677&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJWTKzOBOZ4jARDYlEiRUwHUI,酒店住宿,New C.H. Guest House Khaosan Road,นิว ซี.เอช. เกสท์เฮาส์ ถนนข้าวสาร,hostel,青年旅舍,3.5,53,85 87 Soi Baworn niwat Pranakorn Krung Thep Maha Nakhon 10200,13.757933,100.499815,拍那空县,波稳尼威区,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,+66 2 280 6284,https://www.facebook.com/ch.2guesthousebkk,,Humble rooms in an unassuming guesthouse offering complimentary Wi-Fi & a dining area.,https://maps.google.com/?cid=4764016849883269389&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJgQOrrm2Z4jARrOFSivXpZII,酒店住宿,邦格拉府BC旅馆,บีซี อินน์ บางลา,guest_house,宾馆/民宿,4.3,52,"166, 168 Thanon Phra Sumen, Talad Yod, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.761834,100.498505,拍那空县,哒叻裕区,星期一: 08:00–22:00 | 星期二: 08:00–22:00 | 星期三: 08:00–22:00 | 星期四: 08:00–22:00 | 星期五: 08:00–22:00 | 星期六: 08:00–22:00 | 星期日: 08:00–22:00,+66 2 282 1562,,,,https://maps.google.com/?cid=9395891963398644140&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJsWz9IxWZ4jARwUyFGOOCxps,酒店住宿,Azure Hostel,อาซูร์ โฮสเทล,hostel,青年旅舍,4.6,50,"589 Thanon Phra Sumen, Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.757653,100.504353,拍那空县,波稳尼威区,星期一: 08:00–00:00 | 星期二: 08:00–00:00 | 星期三: 08:00–00:00 | 星期四: 08:00–00:00 | 星期五: 08:00–00:00 | 星期六: 08:00–00:00 | 星期日: 08:00–00:00,+66 96 252 4694,http://azurehostel.com/,适合儿童,,https://maps.google.com/?cid=11224803033148116161&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ81-r2T-Z4jARBg84qo9iyPg,酒店住宿,Bangkok Publishing Residence,สำนักพิมพ์กรุงเทพ,bed_and_breakfast,住宿加早餐型宾馆,4.7,50,"31-33-35-37-37/1 Lan Luang Rd, Khwaeng Wat Sommanat, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.756527,100.507295,邦巴沙都拍县,Wat Sommanat,星期一: 08:00–22:00 | 星期二: 08:00–22:00 | 星期三: 08:00–22:00 | 星期四: 08:00–22:00 | 星期五: 08:00–22:00 | 星期六: 08:00–22:00 | 星期日: 08:00–22:00,+66 2 282 0288,http://www.bpresidence.com/,适合儿童,"Polished adults-only B&B with in a former printing house, plus a rooftop terrace & a hot tub.",https://maps.google.com/?cid=17926686685923905286&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJO89JhTCZ4jARR6NL5K6CwHI,酒店住宿,Green Apple Khaosan Hostel,กรีนแอปเปิ้ล ข้าวสาร โฮสเทล,hostel,青年旅舍,3.8,50,"14 Trok Bowonrangsi, Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.759162,100.499674,拍那空县,波稳尼威区,,+66 63 418 7663,https://www.booking.com/hotel/th/green-apple-hostel-khaosan.html?lang=xu,,,https://maps.google.com/?cid=8268752603518313287&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ1Q6wtFmZ4jARf2TPzyAA9Yc,酒店住宿,BANN BUNGA INN,บ้านบุหงาอินน์,motel,汽车旅馆,3.1,49,"212/16 Soi Phetchaburi 7, Khwaeng Thung Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400",13.756277,100.529589,拉差贴威县,Thung Phaya Thai,,+66 98 426 0273,https://www.hotelsbkk.com/bann-bunga-inn/,,,https://maps.google.com/?cid=9796736705339810943&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJqxIm86Of4jARqEgqRrVc5aY,酒店住宿,Casa Del Toro Residence,คาซา เดล โตโร เรสซิเดนซ์,private_guest_room,民宿,4.7,49,"41, 18 Soi Phetchaburi 15, Phayathai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400",13.753966,100.538123,拉差贴威县,Thanon Phaya Thai,,+66 65 574 9044,,,,https://maps.google.com/?cid=12026120313598789800&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJfQ1qEgCZ4jARjtMOfF-FrrE,酒店住宿,Shin Hotel Chinatown,โรงแรมชิน ไชน่าทาวน์,hotel,宾馆,4.0,49,"56 Anuwong Rd, Khwaeng Chakkrawat, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.74018,100.504102,三攀他旺县,差甲瓦區,,+66 98 914 4285,https://us2.cloudbeds.com/reservation/G7KVfW,,,https://maps.google.com/?cid=12803317435810632590&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJxz7mBvaZ4jAR5xm8DdB_Is0,酒店住宿,Seen Hostel Bangkok the Riverwalk,ซีนด์ โฮส,hostel,青年旅舍,4.6,48,"131, จักรเพรช, 1 Trok Fueang Thong, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.741078,100.495631,拍那空县,三王府区,,+66 86 394 1463,,,,https://maps.google.com/?cid=14781517458543745511&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJzx3sYwCZ4jARJBTv6F9abmY,酒店住宿,Su Su khaosan hostels,หอพักสุสุข้าวสาร,bed_and_breakfast,民宿早餐旅馆,3.4,48,"207Soi, 205 Soi Kraisi, Khwaeng Talat Yot, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.76072,100.498845,拍那空县,哒叻裕区,,+66 82 476 9688,,,,https://maps.google.com/?cid=7380936207283196964&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJyXN1chSZ4jARaRduPrkB3yw,酒店住宿,La Moon Hostel,ละมุน โฮสเทล,hotel,宾馆,4.8,46,"32 Dinso Rd, Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.754719,100.502195,拍那空县,波稳尼威区,,+66 81 890 9808,http://www.amoonhostel.thailandhotels.site/,,"Warmly decorated rooms offering city views, in a modest hostel featuring a terrace.",https://maps.google.com/?cid=3233304952603285353&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJzajHUgCZ4jAR3uNIca-MPMA,酒店住宿,Mitr Inn MRT Samyot,มิตรอินน์ MRT สามยอด,hotel,宾馆,4.0,46,"21 Trok Wisut, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.747834,100.498684,拍那空县,三王府区,,,https://www.hotelsbkk.com/mitr-inn-mrt-samyot-station-the-grand-palace/,,,https://maps.google.com/?cid=13852101239032570846&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJaczpLGeZ4jAR1na0K8BbSPk,酒店住宿,Rhythm of life guesthouse 56,ริธึม ออฟ ไลฟ์ เกสท์เฮาส์ 56,guest_house,宾馆/民宿,4.4,46,"135 1 Soi Samsen 4, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.762416,100.50232,拍那空县,班潘通,,,,,,https://maps.google.com/?cid=17962707994692318934&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ65yx7z6Z4jAR7jp0s8rFGhE,酒店住宿,The Region,ภูมิภาค,lodging,室内住宿,3.8,45,"152 Thanon Damrong Rak, Khwaeng Khlong Maha Nak, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.754652,100.510745,邦巴沙都拍县,Khlong Maha Nak,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,+66 2 637 4477,https://www.theregionbkk.com/,无障碍入口,"Straightforward hotel overlooking a canal, featuring basic quarters & a simple dining room.",https://maps.google.com/?cid=1232514922424056558&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJh856VV59HTERfdllT_eoYq0,酒店住宿,Chaiwat Hostel,ชัยวัฒน์โฮสเทล,hostel,青年旅舍,4.6,42,"394, 24 Phrabarommaharajwang, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.743948,100.492034,拍那空县,大皇宫区,,+66 89 114 7065,,,,https://maps.google.com/?cid=12493734096421640573&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJpbbxXrmZ4jARXDYydWFo940,酒店住宿,S hotel เสาชิงช้า,S hotel เสาชิงช้า,hotel,宾馆,4.1,42,"89 Thanon Fueang Nakhon, Khwaeng Wat Ratchabophit, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.751324,100.499,拍那空县,拉差博披寺区,,+66 2 224 8484,,,,https://maps.google.com/?cid=10229759846382712412&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJw8jbQ5Ke4jARMJEiBW9z43o,酒店住宿,失物招领住宿加早餐旅馆,ที่พักพร้อมอาหารเช้าที่สูญหายและพบ,bed_and_breakfast,住宿加早餐型宾馆,4.0,42,"10, 10 Soi Phahon Yothin 5, Phaya Thai, Khet Phaya Thai, Krung Thep Maha Nakhon 10400",13.778488,100.541472,拍耶泰县,Phaya Thai,,+66 91 880 8877,https://lostandfoundbedandbreakfast.thailandhotels.site/th/,适合儿童,,https://maps.google.com/?cid=8855048213005242672&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJxzBSfzGZ4jAR0N3ulfBQjZk,酒店住宿,Au Luna Bangkok Hostel,โอลูน่า แบงค็อก โฮสเทล,hostel,青年旅舍,4.8,41,"71/14 Thanon Ti Thong, Khwaeng Wat Ratchabophit, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.748357,100.499029,拍那空县,拉差博披寺区,,+66 83 889 1428,https://aulunabangkokhostel.com/,,,https://maps.google.com/?cid=11064588853757009360&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
